time,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),cloud_cover (%),thoi_diem,muc_nuoc_thuong_luu_m,muc_nuoc_dang_binh_thuong_m,muc_nuoc_chet_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,so_cua_xa_sau,so_cua_xa_mat,thoi_diem_iso
2022-01-01T00:00,17.5,0.0,93,100,2022-01-01 00:00:00,104.94,105.0,101.0,410.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T00:00:00
2022-01-01T01:00,19.1,0.0,86,44,2022-01-01 01:00:00,104.93,105.0,101.0,405.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T01:00:00
2022-01-01T02:00,21.0,0.0,75,100,2022-01-01 02:00:00,104.93,105.0,101.0,415.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T02:00:00
2022-01-01T03:00,21.4,0.1,76,69,2022-01-01 03:00:00,104.92,105.0,101.0,420.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T03:00:00
2022-01-01T04:00,21.9,0.1,74,100,2022-01-01 04:00:00,104.92,105.0,101.0,425.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T04:00:00
2022-01-01T05:00,21.8,0.1,76,50,2022-01-01 05:00:00,104.91,105.0,101.0,410.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T05:00:00
2022-01-01T06:00,22.4,0.0,73,40,2022-01-01 06:00:00,104.91,105.0,101.0,415.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T06:00:00
2022-01-01T07:00,22.0,0.0,75,46,2022-01-01 07:00:00,104.9,105.0,101.0,405.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T07:00:00
2022-01-01T08:00,21.4,0.1,76,55,2022-01-01 08:00:00,104.9,105.0,101.0,410.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T08:00:00
2022-01-01T09:00,20.3,0.1,80,41,2022-01-01 09:00:00,104.89,105.0,101.0,415.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T09:00:00
2022-01-01T10:00,19.1,0.0,86,48,2022-01-01 10:00:00,104.89,105.0,101.0,420.0,250.0,50.0,200.0,0.0,1.0,2022-01-01T10:00:00
2022-01-01T11:00,18.0,0.0,92,43,2022-01-01 11:00:00,104.9,105.0,101.0,425.0,250.0,50.0,200.0,0.0,1.0,2022-01-01T11:00:00
2022-01-01T12:00,17.7,0.0,93,80,2022-01-01 12:00:00,104.91,105.0,101.0,410.0,250.0,50.0,200.0,0.0,1.0,2022-01-01T12:00:00
2022-01-01T13:00,17.4,0.0,94,36,2022-01-01 13:00:00,104.92,105.0,101.0,405.0,250.0,50.0,200.0,0.0,1.0,2022-01-01T13:00:00
2022-01-01T14:00,17.2,0.0,94,83,2022-01-01 14:00:00,104.93,105.0,101.0,415.0,250.0,50.0,200.0,0.0,1.0,2022-01-01T14:00:00
2022-01-01T15:00,17.2,0.0,95,94,2022-01-01 15:00:00,104.93,105.0,101.0,400.0,370.0,50.0,320.0,0.0,1.0,2022-01-01T15:00:00
2022-01-01T16:00,17.3,0.0,95,100,2022-01-01 16:00:00,104.92,105.0,101.0,410.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T16:00:00
2022-01-01T17:00,17.3,0.0,94,100,2022-01-01 17:00:00,104.92,105.0,101.0,420.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T17:00:00
2022-01-01T18:00,17.0,0.0,95,99,2022-01-01 18:00:00,104.91,105.0,101.0,415.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T18:00:00
2022-01-01T19:00,17.0,0.0,95,100,2022-01-01 19:00:00,104.91,105.0,101.0,425.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T19:00:00
2022-01-01T20:00,17.6,0.0,93,63,2022-01-01 20:00:00,104.89,105.0,101.0,370.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T20:00:00
2022-01-01T21:00,17.5,0.0,92,61,2022-01-01 21:00:00,104.88,105.0,101.0,360.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T21:00:00
2022-01-01T22:00,17.5,0.0,93,100,2022-01-01 22:00:00,104.87,105.0,101.0,365.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T22:00:00
2022-01-01T23:00,17.8,0.0,91,100,2022-01-01 23:00:00,104.86,105.0,101.0,345.0,450.0,50.0,400.0,0.0,1.0,2022-01-01T23:00:00
2022-01-02T00:00,18.0,0.0,91,100,2022-01-02 00:00:00,104.85,105.0,101.0,355.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T00:00:00
2022-01-02T01:00,19.4,0.0,85,49,2022-01-02 01:00:00,104.84,105.0,101.0,350.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T01:00:00
2022-01-02T02:00,20.6,0.1,79,80,2022-01-02 02:00:00,104.83,105.0,101.0,360.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T02:00:00
2022-01-02T03:00,21.2,0.1,76,77,2022-01-02 03:00:00,104.82,105.0,101.0,345.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T03:00:00
2022-01-02T04:00,21.9,0.1,73,66,2022-01-02 04:00:00,104.81,105.0,101.0,365.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T04:00:00
2022-01-02T05:00,22.5,0.1,70,63,2022-01-02 05:00:00,104.8,105.0,101.0,355.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T05:00:00
2022-01-02T06:00,22.1,0.1,71,87,2022-01-02 06:00:00,104.79,105.0,101.0,360.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T06:00:00
2022-01-02T07:00,21.8,0.1,74,70,2022-01-02 07:00:00,104.78,105.0,101.0,355.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T07:00:00
2022-01-02T08:00,21.2,0.0,75,75,2022-01-02 08:00:00,104.77,105.0,101.0,365.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T08:00:00
2022-01-02T09:00,20.0,0.1,81,44,2022-01-02 09:00:00,104.76,105.0,101.0,360.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T09:00:00
2022-01-02T10:00,18.8,0.0,87,100,2022-01-02 10:00:00,104.75,105.0,101.0,350.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T10:00:00
2022-01-02T11:00,17.9,0.1,94,72,2022-01-02 11:00:00,104.74,105.0,101.0,355.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T11:00:00
2022-01-02T12:00,17.5,0.0,95,100,2022-01-02 12:00:00,104.75,105.0,101.0,340.0,250.0,50.0,200.0,0.0,1.0,2022-01-02T12:00:00
2022-01-02T13:00,17.4,0.0,95,100,2022-01-02 13:00:00,104.76,105.0,101.0,335.0,250.0,50.0,200.0,0.0,1.0,2022-01-02T13:00:00
2022-01-02T14:00,17.4,0.0,96,100,2022-01-02 14:00:00,104.76,105.0,101.0,345.0,250.0,50.0,200.0,0.0,1.0,2022-01-02T14:00:00
2022-01-02T15:00,17.3,0.0,96,100,2022-01-02 15:00:00,104.75,105.0,101.0,330.0,450.0,50.0,400.0,0.0,1.0,2022-01-02T15:00:00
2022-01-02T16:00,17.4,0.0,97,100,2022-01-02 16:00:00,104.74,105.0,101.0,270.0,400.0,0.0,400.0,0.0,0.0,2022-01-02T16:00:00
2022-01-02T17:00,17.4,0.0,96,100,2022-01-02 17:00:00,104.73,105.0,101.0,275.0,400.0,0.0,400.0,0.0,0.0,2022-01-02T17:00:00
2022-01-02T18:00,17.1,0.0,97,100,2022-01-02 18:00:00,104.72,105.0,101.0,280.0,400.0,0.0,400.0,0.0,0.0,2022-01-02T18:00:00
2022-01-02T19:00,17.1,0.0,97,100,2022-01-02 19:00:00,104.71,105.0,101.0,285.0,400.0,0.0,400.0,0.0,0.0,2022-01-02T19:00:00
2022-01-02T20:00,17.2,0.0,95,100,2022-01-02 20:00:00,104.7,105.0,101.0,275.0,400.0,0.0,400.0,0.0,0.0,2022-01-02T20:00:00
2022-01-02T21:00,17.3,0.0,94,100,2022-01-02 21:00:00,104.69,105.0,101.0,270.0,400.0,0.0,400.0,0.0,0.0,2022-01-02T21:00:00
2022-01-02T22:00,17.2,0.0,95,100,2022-01-02 22:00:00,104.68,105.0,101.0,280.0,400.0,0.0,400.0,0.0,0.0,2022-01-02T22:00:00
2022-01-02T23:00,16.9,0.0,96,100,2022-01-02 23:00:00,104.67,105.0,101.0,290.0,400.0,0.0,400.0,0.0,0.0,2022-01-02T23:00:00
2022-01-03T00:00,17.1,0.0,96,100,2022-01-03 00:00:00,104.66,105.0,101.0,280.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T00:00:00
2022-01-03T01:00,18.6,0.0,87,100,2022-01-03 01:00:00,104.65,105.0,101.0,275.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T01:00:00
2022-01-03T02:00,20.1,0.0,79,99,2022-01-03 02:00:00,104.64,105.0,101.0,270.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T02:00:00
2022-01-03T03:00,20.9,0.0,76,97,2022-01-03 03:00:00,104.63,105.0,101.0,265.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T03:00:00
2022-01-03T04:00,22.1,0.0,70,100,2022-01-03 04:00:00,104.62,105.0,101.0,270.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T04:00:00
2022-01-03T05:00,21.9,0.2,72,100,2022-01-03 05:00:00,104.61,105.0,101.0,280.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T05:00:00
2022-01-03T06:00,21.3,0.1,75,94,2022-01-03 06:00:00,104.6,105.0,101.0,275.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T06:00:00
2022-01-03T07:00,21.8,0.1,73,58,2022-01-03 07:00:00,104.59,105.0,101.0,285.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T07:00:00
2022-01-03T08:00,21.5,0.1,75,93,2022-01-03 08:00:00,104.58,105.0,101.0,280.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T08:00:00
2022-01-03T09:00,20.9,0.0,77,100,2022-01-03 09:00:00,104.57,105.0,101.0,275.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T09:00:00
2022-01-03T10:00,19.4,0.0,84,100,2022-01-03 10:00:00,104.56,105.0,101.0,270.0,200.0,0.0,200.0,0.0,0.0,2022-01-03T10:00:00
2022-01-03T11:00,18.4,0.0,89,100,2022-01-03 11:00:00,104.57,105.0,101.0,230.0,0.0,0.0,0.0,0.0,0.0,2022-01-03T11:00:00
2022-01-03T12:00,17.7,0.0,94,100,2022-01-03 12:00:00,104.58,105.0,101.0,190.0,0.0,0.0,0.0,0.0,0.0,2022-01-03T12:00:00
2022-01-03T13:00,17.2,0.0,94,100,2022-01-03 13:00:00,104.58,105.0,101.0,155.0,0.0,0.0,0.0,0.0,0.0,2022-01-03T13:00:00
2022-01-03T14:00,17.0,0.0,93,99,2022-01-03 14:00:00,104.59,105.0,101.0,110.0,0.0,0.0,0.0,0.0,0.0,2022-01-03T14:00:00
2022-01-03T15:00,16.8,0.0,93,61,2022-01-03 15:00:00,104.59,105.0,101.0,145.0,120.0,0.0,120.0,0.0,0.0,2022-01-03T15:00:00
2022-01-03T16:00,16.6,0.0,93,70,2022-01-03 16:00:00,104.58,105.0,101.0,170.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T16:00:00
2022-01-03T17:00,16.5,0.0,92,80,2022-01-03 17:00:00,104.57,105.0,101.0,195.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T17:00:00
2022-01-03T18:00,16.4,0.0,92,42,2022-01-03 18:00:00,104.57,105.0,101.0,245.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T18:00:00
2022-01-03T19:00,16.3,0.0,92,100,2022-01-03 19:00:00,104.56,105.0,101.0,250.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T19:00:00
2022-01-03T20:00,16.2,0.0,92,96,2022-01-03 20:00:00,104.55,105.0,101.0,265.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T20:00:00
2022-01-03T21:00,16.3,0.0,90,100,2022-01-03 21:00:00,104.54,105.0,101.0,260.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T21:00:00
2022-01-03T22:00,16.6,0.0,88,100,2022-01-03 22:00:00,104.53,105.0,101.0,255.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T22:00:00
2022-01-03T23:00,16.7,0.0,88,43,2022-01-03 23:00:00,104.52,105.0,101.0,260.0,400.0,0.0,400.0,0.0,0.0,2022-01-03T23:00:00
