time,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),cloud_cover (%),thoi_diem,muc_nuoc_thuong_luu_m,muc_nuoc_dang_binh_thuong_m,muc_nuoc_chet_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,so_cua_xa_sau,so_cua_xa_mat,thoi_diem_iso
2022-01-01T00:00,15.3,0.0,90,100,2022-01-01 00:00:00,112.13,117.0,80.0,848.0,1104.0,0.0,1104.0,0.0,0.0,2022-01-01T00:00:00
2022-01-01T01:00,15.9,0.0,87,100,2022-01-01 01:00:00,112.14,117.0,80.0,700.0,589.0,0.0,589.0,0.0,0.0,2022-01-01T01:00:00
2022-01-01T02:00,16.5,0.0,83,100,2022-01-01 02:00:00,112.14,117.0,80.0,700.0,589.0,0.0,589.0,0.0,0.0,2022-01-01T02:00:00
2022-01-01T03:00,16.9,0.0,82,100,2022-01-01 03:00:00,112.14,117.0,80.0,700.0,589.0,0.0,589.0,0.0,0.0,2022-01-01T03:00:00
2022-01-01T04:00,17.6,0.0,79,100,2022-01-01 04:00:00,112.14,117.0,80.0,700.0,589.0,0.0,589.0,0.0,0.0,2022-01-01T04:00:00
2022-01-01T05:00,17.6,0.0,80,100,2022-01-01 05:00:00,112.14,117.0,80.0,700.0,589.0,0.0,589.0,0.0,0.0,2022-01-01T05:00:00
2022-01-01T06:00,18.2,0.0,77,100,2022-01-01 06:00:00,112.14,117.0,80.0,700.0,589.0,0.0,589.0,0.0,0.0,2022-01-01T06:00:00
2022-01-01T07:00,18.3,0.0,78,100,2022-01-01 07:00:00,112.2,117.0,80.0,820.0,250.0,0.0,250.0,0.0,0.0,2022-01-01T07:00:00
2022-01-01T08:00,18.3,0.0,78,100,2022-01-01 08:00:00,112.2,117.0,80.0,820.0,250.0,0.0,250.0,0.0,0.0,2022-01-01T08:00:00
2022-01-01T09:00,18.2,0.0,77,100,2022-01-01 09:00:00,112.2,117.0,80.0,820.0,250.0,0.0,250.0,0.0,0.0,2022-01-01T09:00:00
2022-01-01T10:00,18.0,0.0,79,100,2022-01-01 10:00:00,112.2,117.0,80.0,820.0,250.0,0.0,250.0,0.0,0.0,2022-01-01T10:00:00
2022-01-01T11:00,17.6,0.0,82,100,2022-01-01 11:00:00,112.2,117.0,80.0,820.0,250.0,0.0,250.0,0.0,0.0,2022-01-01T11:00:00
2022-01-01T12:00,16.9,0.0,86,100,2022-01-01 12:00:00,112.2,117.0,80.0,820.0,250.0,0.0,250.0,0.0,0.0,2022-01-01T12:00:00
2022-01-01T13:00,16.7,0.0,84,100,2022-01-01 13:00:00,112.28,117.0,80.0,1499.0,746.0,0.0,746.0,0.0,0.0,2022-01-01T13:00:00
2022-01-01T14:00,16.4,0.0,83,100,2022-01-01 14:00:00,112.28,117.0,80.0,1499.0,746.0,0.0,746.0,0.0,0.0,2022-01-01T14:00:00
2022-01-01T15:00,16.0,0.0,84,100,2022-01-01 15:00:00,112.28,117.0,80.0,1499.0,746.0,0.0,746.0,0.0,0.0,2022-01-01T15:00:00
2022-01-01T16:00,15.8,0.0,84,87,2022-01-01 16:00:00,112.28,117.0,80.0,1499.0,746.0,0.0,746.0,0.0,0.0,2022-01-01T16:00:00
2022-01-01T17:00,14.9,0.0,91,96,2022-01-01 17:00:00,112.28,117.0,80.0,1499.0,746.0,0.0,746.0,0.0,0.0,2022-01-01T17:00:00
2022-01-01T18:00,14.9,0.0,90,96,2022-01-01 18:00:00,112.28,117.0,80.0,1499.0,746.0,0.0,746.0,0.0,0.0,2022-01-01T18:00:00
2022-01-01T19:00,15.2,0.0,87,100,2022-01-01 19:00:00,112.22,117.0,80.0,857.0,1388.0,0.0,1388.0,0.0,0.0,2022-01-01T19:00:00
2022-01-01T20:00,15.3,0.0,87,100,2022-01-01 20:00:00,112.22,117.0,80.0,857.0,1388.0,0.0,1388.0,0.0,0.0,2022-01-01T20:00:00
2022-01-01T21:00,15.3,0.0,86,100,2022-01-01 21:00:00,112.22,117.0,80.0,857.0,1388.0,0.0,1388.0,0.0,0.0,2022-01-01T21:00:00
