thoi_diem,muc_nuoc_thuong_luu_m,muc_nuoc_dang_binh_thuong_m,muc_nuoc_chet_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,so_cua_xa_sau,so_cua_xa_mat
1/1/2022 0:00,61.29,62,50,170,0,0,0,0,0
1/1/2022 1:00,61.3,62,50,210,0,0,0,0,0
1/1/2022 2:00,61.3,62,50,210,0,0,0,0,0
1/1/2022 3:00,61.3,62,50,220,0,0,0,0,0
1/1/2022 4:00,61.3,62,50,220,0,0,0,0,0
1/1/2022 5:00,61.31,62,50,220,0,0,0,0,0
1/1/2022 6:00,61.31,62,50,220,0,0,0,0,0
1/1/2022 7:00,61.32,62,50,280,0,0,0,0,0
1/1/2022 8:00,61.32,62,50,280,0,0,0,0,0
1/1/2022 9:00,61.32,62,50,220,0,0,0,0,0
1/1/2022 10:00,61.32,62,50,220,0,0,0,0,0
1/1/2022 11:00,61.32,62,50,140,0,0,0,0,0
1/1/2022 12:00,61.32,62,50,140,0,0,0,0,0
1/1/2022 13:00,61.33,62,50,170,0,0,0,0,0
1/1/2022 14:00,61.33,62,50,170,0,0,0,0,0
1/1/2022 15:00,61.33,62,50,170,0,0,0,0,0
1/1/2022 16:00,61.33,62,50,170,0,0,0,0,0
1/1/2022 17:00,61.33,62,50,140,0,0,0,0,0
1/1/2022 18:00,61.33,62,50,140,0,0,0,0,0
1/1/2022 19:00,61.32,62,50,230,780,0,780,0,0
1/1/2022 20:00,61.32,62,50,230,780,0,780,0,0
1/1/2022 21:00,61.32,62,50,270,0,0,0,0,0
1/1/2022 22:00,61.32,62,50,270,0,0,0,0,0
1/1/2022 23:00,61.32,62,50,200,0,0,0,0,0
1/2/2022 0:00,61.32,62,50,200,0,0,0,0,0
1/2/2022 1:00,61.33,62,50,110,0,0,0,0,0
1/2/2022 2:00,61.33,62,50,110,0,0,0,0,0
1/2/2022 3:00,61.33,62,50,140,0,0,0,0,0
1/2/2022 4:00,61.33,62,50,140,0,0,0,0,0
1/2/2022 5:00,61.34,62,50,170,0,0,0,0,0
1/2/2022 6:00,61.34,62,50,170,0,0,0,0,0
1/2/2022 7:00,61.34,62,50,140,250,0,250,0,0
1/2/2022 8:00,61.34,62,50,140,250,0,250,0,0
1/2/2022 9:00,61.34,62,50,220,0,0,0,0,0
1/2/2022 10:00,61.34,62,50,220,0,0,0,0,0
1/2/2022 11:00,61.35,62,50,220,0,0,0,0,0
1/2/2022 12:00,61.35,62,50,220,0,0,0,0,0
1/2/2022 13:00,61.35,62,50,200,0,0,0,0,0
1/2/2022 14:00,61.35,62,50,200,0,0,0,0,0
1/2/2022 15:00,61.35,62,50,140,0,0,0,0,0
1/2/2022 16:00,61.35,62,50,140,0,0,0,0,0
1/2/2022 17:00,61.35,62,50,120,450,0,450,0,0
1/2/2022 18:00,61.35,62,50,120,450,0,450,0,0
1/2/2022 19:00,61.34,62,50,240,780,0,780,0,0
1/2/2022 20:00,61.34,62,50,240,780,0,780,0,0
1/2/2022 21:00,61.32,62,50,160,780,0,780,0,0
1/2/2022 22:00,61.32,62,50,160,780,0,780,0,0
1/2/2022 23:00,61.31,62,50,160,780,0,780,0,0
1/3/2022 0:00,61.31,62,50,160,780,0,780,0,0
1/3/2022 1:00,61.31,62,50,150,0,0,0,0,0
1/3/2022 2:00,61.31,62,50,150,0,0,0,0,0
1/3/2022 3:00,61.32,62,50,80,0,0,0,0,0
1/3/2022 4:00,61.32,62,50,80,0,0,0,0,0
1/3/2022 5:00,61.32,62,50,80,0,0,0,0,0
1/3/2022 6:00,61.32,62,50,80,0,0,0,0,0
1/3/2022 7:00,61.32,62,50,50,0,0,0,0,0
1/3/2022 8:00,61.32,62,50,50,0,0,0,0,0
1/3/2022 9:00,61.31,62,50,120,0,0,0,0,0
1/3/2022 10:00,61.31,62,50,120,0,0,0,0,0
1/3/2022 11:00,61.32,62,50,110,0,0,0,0,0
1/3/2022 12:00,61.32,62,50,110,0,0,0,0,0
1/3/2022 13:00,61.32,62,50,180,0,0,0,0,0
1/3/2022 14:00,61.32,62,50,180,0,0,0,0,0
1/3/2022 15:00,61.3,62,50,190,770,0,770,0,0
1/3/2022 16:00,61.3,62,50,190,770,0,770,0,0
1/3/2022 17:00,61.29,62,50,160,780,0,780,0,0
1/3/2022 18:00,61.29,62,50,160,780,0,780,0,0
1/3/2022 19:00,61.27,62,50,160,780,0,780,0,0
1/3/2022 20:00,61.27,62,50,160,780,0,780,0,0
1/3/2022 21:00,61.26,62,50,170,500,0,500,0,0
1/3/2022 22:00,61.26,62,50,170,500,0,500,0,0
1/3/2022 23:00,61.26,62,50,150,120,0,120,0,0
1/4/2022 0:00,61.26,62,50,150,120,0,120,0,0
1/4/2022 1:00,61.26,62,50,120,0,0,0,0,0
1/4/2022 2:00,61.26,62,50,120,0,0,0,0,0
1/4/2022 3:00,61.27,62,50,110,0,0,0,0,0
1/4/2022 4:00,61.27,62,50,110,0,0,0,0,0
1/4/2022 5:00,61.27,62,50,80,0,0,0,0,0
1/4/2022 6:00,61.27,62,50,80,0,0,0,0,0
1/4/2022 7:00,61.27,62,50,110,0,0,0,0,0
1/4/2022 8:00,61.27,62,50,110,0,0,0,0,0
1/4/2022 9:00,61.27,62,50,80,0,0,0,0,0
1/4/2022 10:00,61.27,62,50,80,0,0,0,0,0
1/4/2022 11:00,61.28,62,50,110,0,0,0,0,0
1/4/2022 12:00,61.28,62,50,110,0,0,0,0,0
1/4/2022 13:00,61.28,62,50,110,0,0,0,0,0
1/4/2022 14:00,61.28,62,50,110,0,0,0,0,0
1/4/2022 15:00,61.28,62,50,170,0,0,0,0,0
1/4/2022 16:00,61.28,62,50,170,0,0,0,0,0
1/4/2022 17:00,61.28,62,50,130,370,0,370,0,0
1/4/2022 18:00,61.28,62,50,130,370,0,370,0,0
1/4/2022 19:00,61.27,62,50,140,540,0,540,0,0
1/4/2022 20:00,61.27,62,50,140,540,0,540,0,0
1/4/2022 21:00,61.26,62,50,140,770,0,770,0,0
1/4/2022 22:00,61.26,62,50,140,770,0,770,0,0
1/4/2022 23:00,61.26,62,50,140,190,0,190,0,0
1/5/2022 0:00,61.26,62,50,140,190,0,190,0,0
1/5/2022 1:00,61.26,62,50,150,0,0,0,0,0
1/5/2022 2:00,61.26,62,50,150,0,0,0,0,0
1/5/2022 3:00,61.26,62,50,200,0,0,0,0,0
1/5/2022 4:00,61.26,62,50,200,0,0,0,0,0
1/5/2022 5:00,61.27,62,50,250,0,0,0,0,0
1/5/2022 6:00,61.27,62,50,250,0,0,0,0,0
