ten_ho,thoi_diem,muc_nuoc_thuong_luu_m,muc_nuoc_dang_binh_thuong_m,muc_nuoc_chet_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,so_cua_xa_sau,so_cua_xa_mat
Sông Ba Hạ,2022-01-01 00:00:00,104.94,105,101,410.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 01:00:00,104.93,105,101,405.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 02:00:00,104.93,105,101,415.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 03:00:00,104.92,105,101,420.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 04:00:00,104.92,105,101,425.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 05:00:00,104.91,105,101,410.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 06:00:00,104.91,105,101,415.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 07:00:00,104.9,105,101,405.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 08:00:00,104.9,105,101,410.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 09:00:00,104.89,105,101,415.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 10:00:00,104.89,105,101,420.0,250.0,50.0,200.0,0,1
Sông Ba Hạ,2022-01-01 11:00:00,104.9,105,101,425.0,250.0,50.0,200.0,0,1
Sông Ba Hạ,2022-01-01 12:00:00,104.91,105,101,410.0,250.0,50.0,200.0,0,1
Sông Ba Hạ,2022-01-01 13:00:00,104.92,105,101,405.0,250.0,50.0,200.0,0,1
Sông Ba Hạ,2022-01-01 14:00:00,104.93,105,101,415.0,250.0,50.0,200.0,0,1
Sông Ba Hạ,2022-01-01 15:00:00,104.93,105,101,400.0,370.0,50.0,320.0,0,1
Sông Ba Hạ,2022-01-01 16:00:00,104.92,105,101,410.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 17:00:00,104.92,105,101,420.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 18:00:00,104.91,105,101,415.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 19:00:00,104.91,105,101,425.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 20:00:00,104.89,105,101,370.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 21:00:00,104.88,105,101,360.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 22:00:00,104.87,105,101,365.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-01 23:00:00,104.86,105,101,345.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 00:00:00,104.85,105,101,355.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 01:00:00,104.84,105,101,350.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 02:00:00,104.83,105,101,360.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 03:00:00,104.82,105,101,345.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 04:00:00,104.81,105,101,365.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 05:00:00,104.8,105,101,355.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 06:00:00,104.79,105,101,360.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 07:00:00,104.78,105,101,355.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 08:00:00,104.77,105,101,365.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 09:00:00,104.76,105,101,360.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 10:00:00,104.75,105,101,350.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 11:00:00,104.74,105,101,355.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 12:00:00,104.75,105,101,340.0,250.0,50.0,200.0,0,1
Sông Ba Hạ,2022-01-02 13:00:00,104.76,105,101,335.0,250.0,50.0,200.0,0,1
Sông Ba Hạ,2022-01-02 14:00:00,104.76,105,101,345.0,250.0,50.0,200.0,0,1
Sông Ba Hạ,2022-01-02 15:00:00,104.75,105,101,330.0,450.0,50.0,400.0,0,1
Sông Ba Hạ,2022-01-02 16:00:00,104.74,105,101,270.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-02 17:00:00,104.73,105,101,275.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-02 18:00:00,104.72,105,101,280.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-02 19:00:00,104.71,105,101,285.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-02 20:00:00,104.7,105,101,275.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-02 21:00:00,104.69,105,101,270.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-02 22:00:00,104.68,105,101,280.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-02 23:00:00,104.67,105,101,290.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 00:00:00,104.66,105,101,280.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 01:00:00,104.65,105,101,275.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 02:00:00,104.64,105,101,270.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 03:00:00,104.63,105,101,265.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 04:00:00,104.62,105,101,270.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 05:00:00,104.61,105,101,280.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 06:00:00,104.6,105,101,275.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 07:00:00,104.59,105,101,285.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 08:00:00,104.58,105,101,280.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 09:00:00,104.57,105,101,275.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 10:00:00,104.56,105,101,270.0,200.0,0.0,200.0,0,0
Sông Ba Hạ,2022-01-03 11:00:00,104.57,105,101,230.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-03 12:00:00,104.58,105,101,190.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-03 13:00:00,104.58,105,101,155.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-03 14:00:00,104.59,105,101,110.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-03 15:00:00,104.59,105,101,145.0,120.0,0.0,120.0,0,0
Sông Ba Hạ,2022-01-03 16:00:00,104.58,105,101,170.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 17:00:00,104.57,105,101,195.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 18:00:00,104.57,105,101,245.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 19:00:00,104.56,105,101,250.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 20:00:00,104.55,105,101,265.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 21:00:00,104.54,105,101,260.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 22:00:00,104.53,105,101,255.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-03 23:00:00,104.52,105,101,260.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-04 00:00:00,104.51,105,101,265.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-04 01:00:00,104.5,105,101,260.0,340.0,0.0,340.0,0,0
Sông Ba Hạ,2022-01-04 02:00:00,104.49,105,101,250.0,340.0,0.0,340.0,0,0
Sông Ba Hạ,2022-01-04 03:00:00,104.48,105,101,255.0,340.0,0.0,340.0,0,0
Sông Ba Hạ,2022-01-04 04:00:00,104.47,105,101,250.0,352.0,0.0,352.0,0,0
Sông Ba Hạ,2022-01-04 05:00:00,104.46,105,101,255.0,352.0,0.0,352.0,0,0
Sông Ba Hạ,2022-01-04 06:00:00,104.45,105,101,260.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-04 07:00:00,104.44,105,101,265.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-04 08:00:00,104.43,105,101,260.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-04 09:00:00,104.42,105,101,255.0,396.0,0.0,396.0,0,0
Sông Ba Hạ,2022-01-04 10:00:00,104.41,105,101,250.0,352.0,0.0,352.0,0,0
Sông Ba Hạ,2022-01-04 11:00:00,104.4,105,101,200.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-04 12:00:00,104.41,105,101,180.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-04 13:00:00,104.42,105,101,170.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-04 14:00:00,104.43,105,101,160.0,145.0,0.0,145.0,0,0
Sông Ba Hạ,2022-01-04 15:00:00,104.43,105,101,200.0,334.0,0.0,334.0,0,0
Sông Ba Hạ,2022-01-04 16:00:00,104.42,105,101,250.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-04 17:00:00,104.41,105,101,255.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-04 18:00:00,104.4,105,101,260.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-04 19:00:00,104.39,105,101,270.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-04 20:00:00,104.39,105,101,260.0,252.0,0.0,252.0,0,0
Sông Ba Hạ,2022-01-04 21:00:00,104.38,105,101,265.0,390.0,0.0,390.0,0,0
Sông Ba Hạ,2022-01-04 22:00:00,104.38,105,101,245.0,240.0,0.0,240.0,0,0
Sông Ba Hạ,2022-01-04 23:00:00,104.37,105,101,210.0,254.0,0.0,254.0,0,0
Sông Ba Hạ,2022-01-05 00:00:00,104.37,105,101,215.0,240.0,0.0,240.0,0,0
Sông Ba Hạ,2022-01-05 01:00:00,104.37,105,101,235.0,240.0,0.0,240.0,0,0
Sông Ba Hạ,2022-01-05 02:00:00,104.37,105,101,240.0,240.0,0.0,240.0,0,0
Sông Ba Hạ,2022-01-05 03:00:00,104.37,105,101,245.0,240.0,0.0,240.0,0,0
Sông Ba Hạ,2022-01-05 04:00:00,104.37,105,101,250.0,240.0,0.0,240.0,0,0
Sông Ba Hạ,2022-01-05 05:00:00,104.37,105,101,255.0,240.0,0.0,240.0,0,0
Sông Ba Hạ,2022-01-05 06:00:00,104.36,105,101,245.0,326.0,0.0,326.0,0,0
Sông Ba Hạ,2022-01-05 07:00:00,104.35,105,101,225.0,326.0,0.0,326.0,0,0
Sông Ba Hạ,2022-01-05 08:00:00,104.34,105,101,210.0,362.0,0.0,362.0,0,0
Sông Ba Hạ,2022-01-05 09:00:00,104.34,105,101,215.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-05 10:00:00,104.35,105,101,210.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-05 11:00:00,104.36,105,101,170.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-05 12:00:00,104.37,105,101,150.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-05 13:00:00,104.38,105,101,145.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-05 14:00:00,104.39,105,101,140.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-05 15:00:00,104.39,105,101,215.0,240.0,0.0,240.0,0,0
Sông Ba Hạ,2022-01-05 16:00:00,104.38,105,101,230.0,362.0,0.0,362.0,0,0
Sông Ba Hạ,2022-01-05 17:00:00,104.37,105,101,220.0,326.0,0.0,326.0,0,0
Sông Ba Hạ,2022-01-05 18:00:00,104.36,105,101,245.0,389.0,0.0,389.0,0,0
Sông Ba Hạ,2022-01-05 19:00:00,104.35,105,101,235.0,327.0,0.0,327.0,0,0
Sông Ba Hạ,2022-01-05 20:00:00,104.34,105,101,230.0,327.0,0.0,327.0,0,0
Sông Ba Hạ,2022-01-05 21:00:00,104.33,105,101,220.0,327.0,0.0,327.0,0,0
Sông Ba Hạ,2022-01-05 22:00:00,104.32,105,101,225.0,327.0,0.0,327.0,0,0
Sông Ba Hạ,2022-01-05 23:00:00,104.32,105,101,265.0,327.0,0.0,327.0,0,0
Sông Ba Hạ,2022-01-06 00:00:00,104.32,105,101,270.0,240.0,0.0,240.0,0,0
Sông Ba Hạ,2022-01-06 01:00:00,104.32,105,101,275.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 02:00:00,104.33,105,101,265.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 03:00:00,104.34,105,101,260.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 04:00:00,104.35,105,101,270.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 05:00:00,104.37,105,101,265.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 06:00:00,104.37,105,101,250.0,162.0,0.0,162.0,0,0
Sông Ba Hạ,2022-01-06 07:00:00,104.38,105,101,255.0,175.0,0.0,175.0,0,0
Sông Ba Hạ,2022-01-06 08:00:00,104.37,105,101,245.0,352.0,0.0,352.0,0,0
Sông Ba Hạ,2022-01-06 09:00:00,104.37,105,101,220.0,120.0,0.0,120.0,0,0
Sông Ba Hạ,2022-01-06 10:00:00,104.38,105,101,210.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 11:00:00,104.39,105,101,190.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 12:00:00,104.4,105,101,185.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 13:00:00,104.42,105,101,180.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 14:00:00,104.43,105,101,175.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 15:00:00,104.44,105,101,200.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-06 16:00:00,104.42,105,101,210.0,300.0,0.0,300.0,0,0
Sông Ba Hạ,2022-01-06 17:00:00,104.4,105,101,245.0,390.0,0.0,390.0,0,0
Sông Ba Hạ,2022-01-06 18:00:00,104.39,105,101,250.0,390.0,0.0,390.0,0,0
Sông Ba Hạ,2022-01-06 19:00:00,104.38,105,101,260.0,362.0,0.0,362.0,0,0
Sông Ba Hạ,2022-01-06 20:00:00,104.37,105,101,265.0,362.0,0.0,362.0,0,0
Sông Ba Hạ,2022-01-06 21:00:00,104.36,105,101,265.0,362.0,0.0,362.0,0,0
Sông Ba Hạ,2022-01-06 22:00:00,104.35,105,101,255.0,362.0,0.0,362.0,0,0
Sông Ba Hạ,2022-01-06 23:00:00,104.34,105,101,245.0,352.0,0.0,352.0,0,0
Sông Ba Hạ,2022-01-07 00:00:00,104.34,105,101,240.0,240.0,0.0,240.0,0,0
Sông Ba Hạ,2022-01-07 01:00:00,104.33,105,101,230.0,327.0,0.0,327.0,0,0
Sông Ba Hạ,2022-01-07 02:00:00,104.33,105,101,235.0,327.0,0.0,327.0,0,0
Sông Ba Hạ,2022-01-07 03:00:00,104.32,105,101,225.0,327.0,0.0,327.0,0,0
Sông Ba Hạ,2022-01-07 04:00:00,104.31,105,101,220.0,327.0,0.0,327.0,0,0
Sông Ba Hạ,2022-01-07 05:00:00,104.31,105,101,225.0,352.0,0.0,352.0,0,0
Sông Ba Hạ,2022-01-07 06:00:00,104.3,105,101,220.0,352.0,0.0,352.0,0,0
Sông Ba Hạ,2022-01-07 07:00:00,104.29,105,101,210.0,352.0,0.0,352.0,0,0
Sông Ba Hạ,2022-01-07 08:00:00,104.28,105,101,200.0,352.0,0.0,352.0,0,0
Sông Ba Hạ,2022-01-07 09:00:00,104.28,105,101,180.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-07 10:00:00,104.29,105,101,175.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-07 11:00:00,104.3,105,101,170.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-07 12:00:00,104.32,105,101,174.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-07 13:00:00,104.33,105,101,176.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-07 14:00:00,104.34,105,101,180.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-07 15:00:00,104.36,105,101,190.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-07 16:00:00,104.36,105,101,195.0,326.0,0.0,326.0,0,0
Sông Ba Hạ,2022-01-07 17:00:00,104.35,105,101,205.0,400.0,0.0,400.0,0,0
Sông Ba Hạ,2022-01-07 18:00:00,104.34,105,101,200.0,386.0,0.0,386.0,0,0
Sông Ba Hạ,2022-01-07 19:00:00,104.33,105,101,210.0,362.0,0.0,362.0,0,0
Sông Ba Hạ,2022-01-07 20:00:00,104.32,105,101,215.0,350.0,0.0,350.0,0,0
Sông Ba Hạ,2022-01-07 21:00:00,104.33,105,101,220.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-07 22:00:00,104.32,105,101,210.0,362.0,0.0,362.0,0,0
Sông Ba Hạ,2022-01-07 23:00:00,104.31,105,101,205.0,352.0,0.0,352.0,0,0
Sông Ba Hạ,2022-01-08 00:00:00,104.29,105,101,200.0,326.0,0.0,326.0,0,0
Sông Ba Hạ,2022-01-08 01:00:00,104.29,105,101,195.0,180.0,0.0,180.0,0,0
Sông Ba Hạ,2022-01-08 02:00:00,104.29,105,101,195.0,180.0,0.0,180.0,0,0
Sông Ba Hạ,2022-01-08 03:00:00,104.29,105,101,180.0,180.0,0.0,180.0,0,0
Sông Ba Hạ,2022-01-08 04:00:00,104.29,105,101,180.0,180.0,0.0,180.0,0,0
Sông Ba Hạ,2022-01-08 05:00:00,104.29,105,101,195.0,180.0,0.0,180.0,0,0
Sông Ba Hạ,2022-01-08 06:00:00,104.29,105,101,195.0,180.0,0.0,180.0,0,0
Sông Ba Hạ,2022-01-08 07:00:00,104.29,105,101,195.0,175.0,0.0,175.0,0,0
Sông Ba Hạ,2022-01-08 08:00:00,104.29,105,101,195.0,175.0,0.0,175.0,0,0
Sông Ba Hạ,2022-01-08 09:00:00,104.29,105,101,160.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-08 10:00:00,104.29,105,101,160.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-08 11:00:00,104.3,105,101,176.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-08 12:00:00,104.3,105,101,176.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-08 13:00:00,104.31,105,101,170.0,120.0,0.0,120.0,0,0
Sông Ba Hạ,2022-01-08 14:00:00,104.31,105,101,170.0,120.0,0.0,120.0,0,0
Sông Ba Hạ,2022-01-08 15:00:00,104.33,105,101,162.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-08 16:00:00,104.33,105,101,162.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-08 17:00:00,104.31,105,101,161.0,361.0,0.0,361.0,0,0
Sông Ba Hạ,2022-01-08 18:00:00,104.31,105,101,161.0,361.0,0.0,361.0,0,0
Sông Ba Hạ,2022-01-08 19:00:00,104.29,105,101,150.0,350.0,0.0,350.0,0,0
Sông Ba Hạ,2022-01-08 20:00:00,104.29,105,101,150.0,350.0,0.0,350.0,0,0
Sông Ba Hạ,2022-01-08 21:00:00,104.28,105,101,135.0,350.0,0.0,350.0,0,0
Sông Ba Hạ,2022-01-08 22:00:00,104.28,105,101,135.0,350.0,0.0,350.0,0,0
Sông Ba Hạ,2022-01-08 23:00:00,104.27,105,101,135.0,363.0,0.0,363.0,0,0
Sông Ba Hạ,2022-01-09 00:00:00,104.27,105,101,135.0,363.0,0.0,363.0,0,0
Sông Ba Hạ,2022-01-09 01:00:00,104.26,105,101,145.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-09 02:00:00,104.26,105,101,145.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-09 03:00:00,104.28,105,101,165.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-09 04:00:00,104.28,105,101,165.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-09 05:00:00,104.32,105,101,180.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-09 06:00:00,104.32,105,101,180.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-09 07:00:00,104.34,105,101,185.0,127.0,0.0,127.0,0,0
Sông Ba Hạ,2022-01-09 08:00:00,104.34,105,101,185.0,127.0,0.0,127.0,0,0
Sông Ba Hạ,2022-01-09 09:00:00,104.34,105,101,142.0,120.0,0.0,120.0,0,0
Sông Ba Hạ,2022-01-09 10:00:00,104.34,105,101,142.0,120.0,0.0,120.0,0,0
Sông Ba Hạ,2022-01-09 11:00:00,104.35,105,101,100.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-09 12:00:00,104.35,105,101,100.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-09 13:00:00,104.36,105,101,80.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-09 14:00:00,104.36,105,101,80.0,0.0,0.0,0.0,0,0
Sông Ba Hạ,2022-01-09 15:00:00,104.36,105,101,102.0,120.0,0.0,120.0,0,0
Sông Ba Hạ,2022-01-09 16:00:00,104.36,105,101,102.0,120.0,0.0,120.0,0,0
Sông Ba Hạ,2022-01-09 17:00:00,104.36,105,101,133.0,120.0,0.0,120.0,0,0
Sông Ba Hạ,2022-01-09 18:00:00,104.36,105,101,133.0,120.0,0.0,120.0,0,0
