ten_ho,thoi_diem,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,muc_nuoc_thuong_luu_m_filled
Sông Ba Hạ,2022-01-01 00:00:00,104.94,410.0,450.0,50.0,400.0,104.94
Sông Ba Hạ,2022-01-01 01:00:00,104.93,405.0,450.0,50.0,400.0,104.93
Sông Ba Hạ,2022-01-01 02:00:00,104.93,415.0,450.0,50.0,400.0,104.93
Sông Ba Hạ,2022-01-01 03:00:00,104.92,420.0,450.0,50.0,400.0,104.92
Sông Ba Hạ,2022-01-01 04:00:00,104.92,425.0,450.0,50.0,400.0,104.92
Sông Ba Hạ,2022-01-01 05:00:00,104.91,410.0,450.0,50.0,400.0,104.91
Sông Ba Hạ,2022-01-01 06:00:00,104.91,415.0,450.0,50.0,400.0,104.91
Sông Ba Hạ,2022-01-01 07:00:00,104.9,405.0,450.0,50.0,400.0,104.9
Sông Ba Hạ,2022-01-01 08:00:00,104.9,410.0,450.0,50.0,400.0,104.9
Sông Ba Hạ,2022-01-01 09:00:00,104.89,415.0,450.0,50.0,400.0,104.89
Sông Ba Hạ,2022-01-01 10:00:00,104.89,420.0,250.0,50.0,200.0,104.89
Sông Ba Hạ,2022-01-01 11:00:00,104.9,425.0,250.0,50.0,200.0,104.9
Sông Ba Hạ,2022-01-01 12:00:00,104.91,410.0,250.0,50.0,200.0,104.91
Sông Ba Hạ,2022-01-01 13:00:00,104.92,405.0,250.0,50.0,200.0,104.92
Sông Ba Hạ,2022-01-01 14:00:00,104.93,415.0,250.0,50.0,200.0,104.93
Sông Ba Hạ,2022-01-01 15:00:00,104.93,400.0,370.0,50.0,320.0,104.93
Sông Ba Hạ,2022-01-01 16:00:00,104.92,410.0,450.0,50.0,400.0,104.92
Sông Ba Hạ,2022-01-01 17:00:00,104.92,420.0,450.0,50.0,400.0,104.92
Sông Ba Hạ,2022-01-01 18:00:00,104.91,415.0,450.0,50.0,400.0,104.91
Sông Ba Hạ,2022-01-01 19:00:00,104.91,425.0,450.0,50.0,400.0,104.91
Sông Ba Hạ,2022-01-01 20:00:00,104.89,370.0,450.0,50.0,400.0,104.89
Sông Ba Hạ,2022-01-01 21:00:00,104.88,360.0,450.0,50.0,400.0,104.88
Sông Ba Hạ,2022-01-01 22:00:00,104.87,365.0,450.0,50.0,400.0,104.87
Sông Ba Hạ,2022-01-01 23:00:00,104.86,345.0,450.0,50.0,400.0,104.86
Sông Ba Hạ,2022-01-02 00:00:00,104.85,355.0,450.0,50.0,400.0,104.85
Sông Ba Hạ,2022-01-02 01:00:00,104.84,350.0,450.0,50.0,400.0,104.84
Sông Ba Hạ,2022-01-02 02:00:00,104.83,360.0,450.0,50.0,400.0,104.83
Sông Ba Hạ,2022-01-02 03:00:00,104.82,345.0,450.0,50.0,400.0,104.82
Sông Ba Hạ,2022-01-02 04:00:00,104.81,365.0,450.0,50.0,400.0,104.81
Sông Ba Hạ,2022-01-02 05:00:00,104.8,355.0,450.0,50.0,400.0,104.8
Sông Ba Hạ,2022-01-02 06:00:00,104.79,360.0,450.0,50.0,400.0,104.79
Sông Ba Hạ,2022-01-02 07:00:00,104.78,355.0,450.0,50.0,400.0,104.78
Sông Ba Hạ,2022-01-02 08:00:00,104.77,365.0,450.0,50.0,400.0,104.77
Sông Ba Hạ,2022-01-02 09:00:00,104.76,360.0,450.0,50.0,400.0,104.76
Sông Ba Hạ,2022-01-02 10:00:00,104.75,350.0,450.0,50.0,400.0,104.75
