thoi_diem,ten_ho,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,muc_nuoc_thuong_luu_m_filled,pct_change,anom_iqr_units,out_pct,is_flood_month,is_event_month,count,year_b,month_b,lb_m,ub_m,luu_luong_den_ho_m3_s_capped,luu_luong_den_ho_m3_s_capped_roll_mean_6h,luu_luong_den_ho_m3_s_capped_roll_mean_24h,luu_luong_den_ho_m3_s_capped_roll_mean_72h,luu_luong_den_ho_m3_s_capped_roll_mean_168h,luu_luong_den_ho_m3_s_capped_roll_std_24h,luu_luong_den_ho_m3_s_capped_roll_std_168h,luu_luong_den_ho_m3_s_capped_diff_1,luu_luong_den_ho_m3_s_capped_diff_6,luu_luong_den_ho_m3_s_capped_diff_24,luu_luong_den_ho_m3_s_capped_lag_1,luu_luong_den_ho_m3_s_capped_lag_6,luu_luong_den_ho_m3_s_capped_lag_24,luu_luong_den_ho_m3_s_capped_lag_72,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_anom,luu_luong_den_ho_m3_s_capped_iqrscore,luu_luong_den_ho_m3_s_capped_pct_in_month,log1p_luu_luong_den_ho_m3_s_capped,flag_wl_suspect_low,flag_wl_suspect_high,phase_flood_season,phase_pre_flood_drawdown,phase_post_flood_recharge,flag_regime_2024_jul_oct
2022-01-01 00:00:00,Sông Ba Hạ,104.94,410.0,450.0,50.0,400.0,104.94,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,,,,,,,,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 01:00:00,Sông Ba Hạ,104.93,405.0,450.0,50.0,400.0,104.93,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,,,322.5,,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 02:00:00,Sông Ba Hạ,104.93,415.0,450.0,50.0,400.0,104.93,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,,,322.5,,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 03:00:00,Sông Ba Hạ,104.92,420.0,450.0,50.0,400.0,104.92,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,,,322.5,,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 04:00:00,Sông Ba Hạ,104.92,425.0,450.0,50.0,400.0,104.92,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,,,322.5,,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 05:00:00,Sông Ba Hạ,104.91,410.0,450.0,50.0,400.0,104.91,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,,,322.5,,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 06:00:00,Sông Ba Hạ,104.91,415.0,450.0,50.0,400.0,104.91,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,0.0,,322.5,322.5,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 07:00:00,Sông Ba Hạ,104.9,405.0,450.0,50.0,400.0,104.9,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,0.0,,322.5,322.5,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 08:00:00,Sông Ba Hạ,104.9,410.0,450.0,50.0,400.0,104.9,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,0.0,,322.5,322.5,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 09:00:00,Sông Ba Hạ,104.89,415.0,450.0,50.0,400.0,104.89,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,0.0,,322.5,322.5,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 10:00:00,Sông Ba Hạ,104.89,420.0,250.0,50.0,200.0,104.89,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,0.0,,322.5,322.5,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
2022-01-01 11:00:00,Sông Ba Hạ,104.9,425.0,250.0,50.0,200.0,104.9,,1.1012658227848102,5.376344086021505,0,0,744,2022,1,0.0,322.5,322.5,322.5,322.5,322.5,322.5,0.0,0.0,0.0,0.0,,322.5,322.5,,,90.0,232.5,4.227272727272728,0.9934475806451613,5.779199113940956,0,0,0,0,1,0
