thoi_diem,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,max_xa_dap_tran,max_xa_nha_may,dap_tran_norm,nha_may_norm,is_drought_2023,flag_phys_invalid,muc_nuoc_thuong_luu_m_capped,is_event_month,luu_luong_den_ho_m3_s_capped,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_pct_in_month
1/1/2022 0:00,61.29,170,0,0,0,1140,980,0,0,0,0,61.29,0,170,130,0.844086022
1/1/2022 1:00,61.3,210,0,0,0,1140,980,0,0,0,0,61.3,0,210,130,0.960517473
1/1/2022 2:00,61.3,210,0,0,0,1140,980,0,0,0,0,61.3,0,210,130,0.960517473
1/1/2022 3:00,61.3,220,0,0,0,1140,980,0,0,0,0,61.3,0,220,130,0.971942204
1/1/2022 4:00,61.3,220,0,0,0,1140,980,0,0,0,0,61.3,0,220,130,0.971942204
1/1/2022 5:00,61.31,220,0,0,0,1140,980,0,0,0,0,61.31,0,220,130,0.971942204
1/1/2022 6:00,61.31,220,0,0,0,1140,980,0,0,0,0,61.31,0,220,130,0.971942204
1/1/2022 7:00,61.32,280,0,0,0,1140,980,0,0,0,0,61.32,0,280,130,0.99546371
1/1/2022 8:00,61.32,280,0,0,0,1140,980,0,0,0,0,61.32,0,280,130,0.99546371
1/1/2022 9:00,61.32,220,0,0,0,1140,980,0,0,0,0,61.32,0,220,130,0.971942204
1/1/2022 10:00,61.32,220,0,0,0,1140,980,0,0,0,0,61.32,0,220,130,0.971942204
1/1/2022 11:00,61.32,140,0,0,0,1140,980,0,0,0,0,61.32,0,140,130,0.651377688
1/1/2022 12:00,61.32,140,0,0,0,1140,980,0,0,0,0,61.32,0,140,130,0.651377688
1/1/2022 13:00,61.33,170,0,0,0,1140,980,0,0,0,0,61.33,0,170,130,0.844086022
1/1/2022 14:00,61.33,170,0,0,0,1140,980,0,0,0,0,61.33,0,170,130,0.844086022
1/1/2022 15:00,61.33,170,0,0,0,1140,980,0,0,0,0,61.33,0,170,130,0.844086022
1/1/2022 16:00,61.33,170,0,0,0,1140,980,0,0,0,0,61.33,0,170,130,0.844086022
1/1/2022 17:00,61.33,140,0,0,0,1140,980,0,0,0,0,61.33,0,140,130,0.651377688
1/1/2022 18:00,61.33,140,0,0,0,1140,980,0,0,0,0,61.33,0,140,130,0.651377688
1/1/2022 19:00,61.32,230,780,0,780,1140,980,0,0.795918367,0,0,61.32,0,230,130,0.978662634
1/1/2022 20:00,61.32,230,780,0,780,1140,980,0,0.795918367,0,0,61.32,0,230,130,0.978662634
1/1/2022 21:00,61.32,270,0,0,0,1140,980,0,0,0,0,61.32,0,270,130,0.993783602
1/1/2022 22:00,61.32,270,0,0,0,1140,980,0,0,0,0,61.32,0,270,130,0.993783602
1/1/2022 23:00,61.32,200,0,0,0,1140,980,0,0,0,0,61.32,0,200,130,0.934643817
1/2/2022 0:00,61.32,200,0,0,0,1140,980,0,0,0,0,61.32,0,200,130,0.934643817
1/2/2022 1:00,61.33,110,0,0,0,1140,980,0,0,0,0,61.33,0,110,130,0.373823925
1/2/2022 2:00,61.33,110,0,0,0,1140,980,0,0,0,0,61.33,0,110,130,0.373823925
1/2/2022 3:00,61.33,140,0,0,0,1140,980,0,0,0,0,61.33,0,140,130,0.651377688
1/2/2022 4:00,61.33,140,0,0,0,1140,980,0,0,0,0,61.33,0,140,130,0.651377688
1/2/2022 5:00,61.34,170,0,0,0,1140,980,0,0,0,0,61.34,0,170,130,0.844086022
1/2/2022 6:00,61.34,170,0,0,0,1140,980,0,0,0,0,61.34,0,170,130,0.844086022
1/2/2022 7:00,61.34,140,250,0,250,1140,980,0,0.255102041,0,0,61.34,0,140,130,0.651377688
1/2/2022 8:00,61.34,140,250,0,250,1140,980,0,0.255102041,0,0,61.34,0,140,130,0.651377688
1/2/2022 9:00,61.34,220,0,0,0,1140,980,0,0,0,0,61.34,0,220,130,0.971942204
1/2/2022 10:00,61.34,220,0,0,0,1140,980,0,0,0,0,61.34,0,220,130,0.971942204
1/2/2022 11:00,61.35,220,0,0,0,1140,980,0,0,0,0,61.35,0,220,130,0.971942204
1/2/2022 12:00,61.35,220,0,0,0,1140,980,0,0,0,0,61.35,0,220,130,0.971942204
1/2/2022 13:00,61.35,200,0,0,0,1140,980,0,0,0,0,61.35,0,200,130,0.934643817
1/2/2022 14:00,61.35,200,0,0,0,1140,980,0,0,0,0,61.35,0,200,130,0.934643817
1/2/2022 15:00,61.35,140,0,0,0,1140,980,0,0,0,0,61.35,0,140,130,0.651377688
1/2/2022 16:00,61.35,140,0,0,0,1140,980,0,0,0,0,61.35,0,140,130,0.651377688
1/2/2022 17:00,61.35,120,450,0,450,1140,980,0,0.459183673,0,0,61.35,0,120,130,0.449260753
1/2/2022 18:00,61.35,120,450,0,450,1140,980,0,0.459183673,0,0,61.35,0,120,130,0.449260753
1/2/2022 19:00,61.34,240,780,0,780,1140,980,0,0.795918367,0,0,61.34,0,240,130,0.981686828
1/2/2022 20:00,61.34,240,780,0,780,1140,980,0,0.795918367,0,0,61.34,0,240,130,0.981686828
1/2/2022 21:00,61.32,160,780,0,780,1140,980,0,0.795918367,0,0,61.32,0,160,130,0.810651882
1/2/2022 22:00,61.32,160,780,0,780,1140,980,0,0.795918367,0,0,61.32,0,160,130,0.810651882
1/2/2022 23:00,61.31,160,780,0,780,1140,980,0,0.795918367,0,0,61.31,0,160,130,0.810651882
1/3/2022 0:00,61.31,160,780,0,780,1140,980,0,0.795918367,0,0,61.31,0,160,130,0.810651882
