thoi_diem,ten_ho,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,is_drought_2023,flag_phys_invalid,muc_nuoc_thuong_luu_m_capped,month_x,is_event_month,month_y,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_pct_in_month,luu_luong_den_ho_m3_s_capped
2022-01-01 00:00:00,Trị An,61.29,170,0,0.0,0.0,0,0,61.29,1,0,1,130.0,0.8440860215053764,170.0
2022-01-01 01:00:00,Trị An,61.3,210,0,0.0,0.0,0,0,61.3,1,0,1,130.0,0.9605174731182796,210.0
2022-01-01 02:00:00,Trị An,61.3,210,0,0.0,0.0,0,0,61.3,1,0,1,130.0,0.9605174731182796,210.0
2022-01-01 03:00:00,Trị An,61.3,220,0,0.0,0.0,0,0,61.3,1,0,1,130.0,0.9719422043010753,220.0
2022-01-01 04:00:00,Trị An,61.3,220,0,0.0,0.0,0,0,61.3,1,0,1,130.0,0.9719422043010753,220.0
2022-01-01 05:00:00,Trị An,61.31,220,0,0.0,0.0,0,0,61.31,1,0,1,130.0,0.9719422043010753,220.0
2022-01-01 06:00:00,Trị An,61.31,220,0,0.0,0.0,0,0,61.31,1,0,1,130.0,0.9719422043010753,220.0
2022-01-01 07:00:00,Trị An,61.32,280,0,0.0,0.0,0,0,61.32,1,0,1,130.0,0.9954637096774194,280.0
2022-01-01 08:00:00,Trị An,61.32,280,0,0.0,0.0,0,0,61.32,1,0,1,130.0,0.9954637096774194,280.0
2022-01-01 09:00:00,Trị An,61.32,220,0,0.0,0.0,0,0,61.32,1,0,1,130.0,0.9719422043010753,220.0
2022-01-01 10:00:00,Trị An,61.32,220,0,0.0,0.0,0,0,61.32,1,0,1,130.0,0.9719422043010753,220.0
2022-01-01 11:00:00,Trị An,61.32,140,0,0.0,0.0,0,0,61.32,1,0,1,130.0,0.651377688172043,140.0
2022-01-01 12:00:00,Trị An,61.32,140,0,0.0,0.0,0,0,61.32,1,0,1,130.0,0.651377688172043,140.0
2022-01-01 13:00:00,Trị An,61.33,170,0,0.0,0.0,0,0,61.33,1,0,1,130.0,0.8440860215053764,170.0
2022-01-01 14:00:00,Trị An,61.33,170,0,0.0,0.0,0,0,61.33,1,0,1,130.0,0.8440860215053764,170.0
2022-01-01 15:00:00,Trị An,61.33,170,0,0.0,0.0,0,0,61.33,1,0,1,130.0,0.8440860215053764,170.0
2022-01-01 16:00:00,Trị An,61.33,170,0,0.0,0.0,0,0,61.33,1,0,1,130.0,0.8440860215053764,170.0
2022-01-01 17:00:00,Trị An,61.33,140,0,0.0,0.0,0,0,61.33,1,0,1,130.0,0.651377688172043,140.0
2022-01-01 18:00:00,Trị An,61.33,140,0,0.0,0.0,0,0,61.33,1,0,1,130.0,0.651377688172043,140.0
2022-01-01 19:00:00,Trị An,61.32,230,780,0.0,780.0,0,0,61.32,1,0,1,130.0,0.978662634408602,230.0
2022-01-01 20:00:00,Trị An,61.32,230,780,0.0,780.0,0,0,61.32,1,0,1,130.0,0.978662634408602,230.0
2022-01-01 21:00:00,Trị An,61.32,270,0,0.0,0.0,0,0,61.32,1,0,1,130.0,0.9937836021505376,270.0
2022-01-01 22:00:00,Trị An,61.32,270,0,0.0,0.0,0,0,61.32,1,0,1,130.0,0.9937836021505376,270.0
2022-01-01 23:00:00,Trị An,61.32,200,0,0.0,0.0,0,0,61.32,1,0,1,130.0,0.9346438172043012,200.0
2022-01-02 00:00:00,Trị An,61.32,200,0,0.0,0.0,0,0,61.32,1,0,1,130.0,0.9346438172043012,200.0
2022-01-02 01:00:00,Trị An,61.33,110,0,0.0,0.0,0,0,61.33,1,0,1,130.0,0.3738239247311828,110.0
2022-01-02 02:00:00,Trị An,61.33,110,0,0.0,0.0,0,0,61.33,1,0,1,130.0,0.3738239247311828,110.0
2022-01-02 03:00:00,Trị An,61.33,140,0,0.0,0.0,0,0,61.33,1,0,1,130.0,0.651377688172043,140.0
2022-01-02 04:00:00,Trị An,61.33,140,0,0.0,0.0,0,0,61.33,1,0,1,130.0,0.651377688172043,140.0
2022-01-02 05:00:00,Trị An,61.34,170,0,0.0,0.0,0,0,61.34,1,0,1,130.0,0.8440860215053764,170.0
2022-01-02 06:00:00,Trị An,61.34,170,0,0.0,0.0,0,0,61.34,1,0,1,130.0,0.8440860215053764,170.0
2022-01-02 07:00:00,Trị An,61.34,140,250,0.0,250.0,0,0,61.34,1,0,1,130.0,0.651377688172043,140.0
2022-01-02 08:00:00,Trị An,61.34,140,250,0.0,250.0,0,0,61.34,1,0,1,130.0,0.651377688172043,140.0
2022-01-02 09:00:00,Trị An,61.34,220,0,0.0,0.0,0,0,61.34,1,0,1,130.0,0.9719422043010753,220.0
2022-01-02 10:00:00,Trị An,61.34,220,0,0.0,0.0,0,0,61.34,1,0,1,130.0,0.9719422043010753,220.0
2022-01-02 11:00:00,Trị An,61.35,220,0,0.0,0.0,0,0,61.35,1,0,1,130.0,0.9719422043010753,220.0
2022-01-02 12:00:00,Trị An,61.35,220,0,0.0,0.0,0,0,61.35,1,0,1,130.0,0.9719422043010753,220.0
2022-01-02 13:00:00,Trị An,61.35,200,0,0.0,0.0,0,0,61.35,1,0,1,130.0,0.9346438172043012,200.0
2022-01-02 14:00:00,Trị An,61.35,200,0,0.0,0.0,0,0,61.35,1,0,1,130.0,0.9346438172043012,200.0
2022-01-02 15:00:00,Trị An,61.35,140,0,0.0,0.0,0,0,61.35,1,0,1,130.0,0.651377688172043,140.0
