ten_ho,thoi_diem,muc_nuoc_thuong_luu_m,muc_nuoc_dang_binh_thuong_m,muc_nuoc_chet_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,max_xa_dap_tran,max_xa_nha_may,dap_tran_norm,nha_may_norm
Hòa Bình,2022-01-01 00:00:00,112.13,117,80,848.0,1104.0,0.0,1104.0,8212.0,2982.0,0.0,0.3702213279678068
Sông Ba Hạ,2022-01-01 00:00:00,104.94,105,101,410.0,450.0,50.0,400.0,16100.0,410.0,0.003105590062111801,0.975609756097561
Trị An,2022-01-01 00:00:00,61.29,62,50,170.0,0.0,0.0,0.0,1140.0,980.0,0.0,0.0
Hòa Bình,2022-01-01 01:00:00,112.14,117,80,700.0,589.0,0.0,589.0,8212.0,2982.0,0.0,0.19751844399731724
Sông Ba Hạ,2022-01-01 01:00:00,104.93,105,101,405.0,450.0,50.0,400.0,16100.0,410.0,0.003105590062111801,0.975609756097561
Trị An,2022-01-01 01:00:00,61.3,62,50,210.0,0.0,0.0,0.0,1140.0,980.0,0.0,0.0
Hòa Bình,2022-01-01 02:00:00,112.14,117,80,700.0,589.0,0.0,589.0,8212.0,2982.0,0.0,0.19751844399731724
Sông Ba Hạ,2022-01-01 02:00:00,104.93,105,101,415.0,450.0,50.0,400.0,16100.0,410.0,0.003105590062111801,0.975609756097561
Trị An,2022-01-01 02:00:00,61.3,62,50,210.0,0.0,0.0,0.0,1140.0,980.0,0.0,0.0
Hòa Bình,2022-01-01 03:00:00,112.14,117,80,700.0,589.0,0.0,589.0,8212.0,2982.0,0.0,0.19751844399731724
Sông Ba Hạ,2022-01-01 03:00:00,104.92,105,101,420.0,450.0,50.0,400.0,16100.0,410.0,0.003105590062111801,0.975609756097561
Trị An,2022-01-01 03:00:00,61.3,62,50,220.0,0.0,0.0,0.0,1140.0,980.0,0.0,0.0
Hòa Bình,2022-01-01 04:00:00,112.14,117,80,700.0,589.0,0.0,589.0,8212.0,2982.0,0.0,0.19751844399731724
Sông Ba Hạ,2022-01-01 04:00:00,104.92,105,101,425.0,450.0,50.0,400.0,16100.0,410.0,0.003105590062111801,0.975609756097561
Trị An,2022-01-01 04:00:00,61.3,62,50,220.0,0.0,0.0,0.0,1140.0,980.0,0.0,0.0
Hòa Bình,2022-01-01 05:00:00,112.14,117,80,700.0,589.0,0.0,589.0,8212.0,2982.0,0.0,0.19751844399731724
Sông Ba Hạ,2022-01-01 05:00:00,104.91,105,101,410.0,450.0,50.0,400.0,16100.0,410.0,0.003105590062111801,0.975609756097561
Trị An,2022-01-01 05:00:00,61.31,62,50,220.0,0.0,0.0,0.0,1140.0,980.0,0.0,0.0
Hòa Bình,2022-01-01 06:00:00,112.14,117,80,700.0,589.0,0.0,589.0,8212.0,2982.0,0.0,0.19751844399731724
Sông Ba Hạ,2022-01-01 06:00:00,104.91,105,101,415.0,450.0,50.0,400.0,16100.0,410.0,0.003105590062111801,0.975609756097561
Trị An,2022-01-01 06:00:00,61.31,62,50,220.0,0.0,0.0,0.0,1140.0,980.0,0.0,0.0
Hòa Bình,2022-01-01 07:00:00,112.2,117,80,820.0,250.0,0.0,250.0,8212.0,2982.0,0.0,0.08383635144198524
Sông Ba Hạ,2022-01-01 07:00:00,104.9,105,101,405.0,450.0,50.0,400.0,16100.0,410.0,0.003105590062111801,0.975609756097561
Trị An,2022-01-01 07:00:00,61.32,62,50,280.0,0.0,0.0,0.0,1140.0,980.0,0.0,0.0
Hòa Bình,2022-01-01 08:00:00,112.2,117,80,820.0,250.0,0.0,250.0,8212.0,2982.0,0.0,0.08383635144198524
