ten_ho,thoi_diem,muc_nuoc_thuong_luu_m,muc_nuoc_dang_binh_thuong_m,muc_nuoc_chet_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,max_xa_dap_tran,max_xa_nha_may,dap_tran_norm,nha_may_norm
Sông Ba Hạ,1/1/2022 0:00,104.94,105,101,410,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 1:00,104.93,105,101,405,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 2:00,104.93,105,101,415,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 3:00,104.92,105,101,420,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 4:00,104.92,105,101,425,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 5:00,104.91,105,101,410,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 6:00,104.91,105,101,415,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 7:00,104.9,105,101,405,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 8:00,104.9,105,101,410,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 9:00,104.89,105,101,415,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 10:00,104.89,105,101,420,250,50,200,16100,410,0.00310559,0.487804878
Sông Ba Hạ,1/1/2022 11:00,104.9,105,101,425,250,50,200,16100,410,0.00310559,0.487804878
Sông Ba Hạ,1/1/2022 12:00,104.91,105,101,410,250,50,200,16100,410,0.00310559,0.487804878
Sông Ba Hạ,1/1/2022 13:00,104.92,105,101,405,250,50,200,16100,410,0.00310559,0.487804878
Sông Ba Hạ,1/1/2022 14:00,104.93,105,101,415,250,50,200,16100,410,0.00310559,0.487804878
Sông Ba Hạ,1/1/2022 15:00,104.93,105,101,400,370,50,320,16100,410,0.00310559,0.780487805
Sông Ba Hạ,1/1/2022 16:00,104.92,105,101,410,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 17:00,104.92,105,101,420,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 18:00,104.91,105,101,415,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 19:00,104.91,105,101,425,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 20:00,104.89,105,101,370,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 21:00,104.88,105,101,360,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 22:00,104.87,105,101,365,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,1/1/2022 23:00,104.86,105,101,345,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 0:00,104.85,105,101,355,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 1:00,104.84,105,101,350,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 2:00,104.83,105,101,360,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 3:00,104.82,105,101,345,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 4:00,104.81,105,101,365,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 5:00,104.8,105,101,355,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 6:00,104.79,105,101,360,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 7:00,104.78,105,101,355,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 8:00,104.77,105,101,365,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 9:00,104.76,105,101,360,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 10:00,104.75,105,101,350,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 11:00,104.74,105,101,355,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 12:00,104.75,105,101,340,250,50,200,16100,410,0.00310559,0.487804878
Sông Ba Hạ,2/1/2022 13:00,104.76,105,101,335,250,50,200,16100,410,0.00310559,0.487804878
Sông Ba Hạ,2/1/2022 14:00,104.76,105,101,345,250,50,200,16100,410,0.00310559,0.487804878
Sông Ba Hạ,2/1/2022 15:00,104.75,105,101,330,450,50,400,16100,410,0.00310559,0.975609756
Sông Ba Hạ,2/1/2022 16:00,104.74,105,101,270,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,2/1/2022 17:00,104.73,105,101,275,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,2/1/2022 18:00,104.72,105,101,280,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,2/1/2022 19:00,104.71,105,101,285,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,2/1/2022 20:00,104.7,105,101,275,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,2/1/2022 21:00,104.69,105,101,270,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,2/1/2022 22:00,104.68,105,101,280,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,2/1/2022 23:00,104.67,105,101,290,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 0:00,104.66,105,101,280,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 1:00,104.65,105,101,275,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 2:00,104.64,105,101,270,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 3:00,104.63,105,101,265,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 4:00,104.62,105,101,270,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 5:00,104.61,105,101,280,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 6:00,104.6,105,101,275,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 7:00,104.59,105,101,285,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 8:00,104.58,105,101,280,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 9:00,104.57,105,101,275,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 10:00,104.56,105,101,270,200,0,200,16100,410,0,0.487804878
Sông Ba Hạ,3/1/2022 11:00,104.57,105,101,230,0,0,0,16100,410,0,0
Sông Ba Hạ,3/1/2022 12:00,104.58,105,101,190,0,0,0,16100,410,0,0
Sông Ba Hạ,3/1/2022 13:00,104.58,105,101,155,0,0,0,16100,410,0,0
Sông Ba Hạ,3/1/2022 14:00,104.59,105,101,110,0,0,0,16100,410,0,0
Sông Ba Hạ,3/1/2022 15:00,104.59,105,101,145,120,0,120,16100,410,0,0.292682927
Sông Ba Hạ,3/1/2022 16:00,104.58,105,101,170,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 17:00,104.57,105,101,195,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 18:00,104.57,105,101,245,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 19:00,104.56,105,101,250,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 20:00,104.55,105,101,265,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 21:00,104.54,105,101,260,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 22:00,104.53,105,101,255,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,3/1/2022 23:00,104.52,105,101,260,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,4/1/2022 0:00,104.51,105,101,265,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,4/1/2022 1:00,104.5,105,101,260,340,0,340,16100,410,0,0.829268293
Sông Ba Hạ,4/1/2022 2:00,104.49,105,101,250,340,0,340,16100,410,0,0.829268293
Sông Ba Hạ,4/1/2022 3:00,104.48,105,101,255,340,0,340,16100,410,0,0.829268293
Sông Ba Hạ,4/1/2022 4:00,104.47,105,101,250,352,0,352,16100,410,0,0.858536585
Sông Ba Hạ,4/1/2022 5:00,104.46,105,101,255,352,0,352,16100,410,0,0.858536585
Sông Ba Hạ,4/1/2022 6:00,104.45,105,101,260,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,4/1/2022 7:00,104.44,105,101,265,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,4/1/2022 8:00,104.43,105,101,260,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,4/1/2022 9:00,104.42,105,101,255,396,0,396,16100,410,0,0.965853659
Sông Ba Hạ,4/1/2022 10:00,104.41,105,101,250,352,0,352,16100,410,0,0.858536585
Sông Ba Hạ,4/1/2022 11:00,104.4,105,101,200,0,0,0,16100,410,0,0
Sông Ba Hạ,4/1/2022 12:00,104.41,105,101,180,0,0,0,16100,410,0,0
Sông Ba Hạ,4/1/2022 13:00,104.42,105,101,170,0,0,0,16100,410,0,0
Sông Ba Hạ,4/1/2022 14:00,104.43,105,101,160,145,0,145,16100,410,0,0.353658537
Sông Ba Hạ,4/1/2022 15:00,104.43,105,101,200,334,0,334,16100,410,0,0.814634146
Sông Ba Hạ,4/1/2022 16:00,104.42,105,101,250,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,4/1/2022 17:00,104.41,105,101,255,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,4/1/2022 18:00,104.4,105,101,260,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,4/1/2022 19:00,104.39,105,101,270,400,0,400,16100,410,0,0.975609756
Sông Ba Hạ,4/1/2022 20:00,104.39,105,101,260,252,0,252,16100,410,0,0.614634146
Sông Ba Hạ,4/1/2022 21:00,104.38,105,101,265,390,0,390,16100,410,0,0.951219512
Sông Ba Hạ,4/1/2022 22:00,104.38,105,101,245,240,0,240,16100,410,0,0.585365854
Sông Ba Hạ,4/1/2022 23:00,104.37,105,101,210,254,0,254,16100,410,0,0.619512195
Sông Ba Hạ,5/1/2022 0:00,104.37,105,101,215,240,0,240,16100,410,0,0.585365854
Sông Ba Hạ,5/1/2022 1:00,104.37,105,101,235,240,0,240,16100,410,0,0.585365854
Sông Ba Hạ,5/1/2022 2:00,104.37,105,101,240,240,0,240,16100,410,0,0.585365854
Sông Ba Hạ,5/1/2022 3:00,104.37,105,101,245,240,0,240,16100,410,0,0.585365854
Sông Ba Hạ,5/1/2022 4:00,104.37,105,101,250,240,0,240,16100,410,0,0.585365854
Sông Ba Hạ,5/1/2022 5:00,104.37,105,101,255,240,0,240,16100,410,0,0.585365854
Sông Ba Hạ,5/1/2022 6:00,104.36,105,101,245,326,0,326,16100,410,0,0.795121951
Sông Ba Hạ,5/1/2022 7:00,104.35,105,101,225,326,0,326,16100,410,0,0.795121951
Sông Ba Hạ,5/1/2022 8:00,104.34,105,101,210,362,0,362,16100,410,0,0.882926829
Sông Ba Hạ,5/1/2022 9:00,104.34,105,101,215,0,0,0,16100,410,0,0
Sông Ba Hạ,5/1/2022 10:00,104.35,105,101,210,0,0,0,16100,410,0,0
Sông Ba Hạ,5/1/2022 11:00,104.36,105,101,170,0,0,0,16100,410,0,0
Sông Ba Hạ,5/1/2022 12:00,104.37,105,101,150,0,0,0,16100,410,0,0
Sông Ba Hạ,5/1/2022 13:00,104.38,105,101,145,0,0,0,16100,410,0,0
Sông Ba Hạ,5/1/2022 14:00,104.39,105,101,140,0,0,0,16100,410,0,0
Sông Ba Hạ,5/1/2022 15:00,104.39,105,101,215,240,0,240,16100,410,0,0.585365854
Sông Ba Hạ,5/1/2022 16:00,104.38,105,101,230,362,0,362,16100,410,0,0.882926829
Sông Ba Hạ,5/1/2022 17:00,104.37,105,101,220,326,0,326,16100,410,0,0.795121951
Sông Ba Hạ,5/1/2022 18:00,104.36,105,101,245,389,0,389,16100,410,0,0.948780488
Sông Ba Hạ,5/1/2022 19:00,104.35,105,101,235,327,0,327,16100,410,0,0.797560976
Sông Ba Hạ,5/1/2022 20:00,104.34,105,101,230,327,0,327,16100,410,0,0.797560976
Sông Ba Hạ,5/1/2022 21:00,104.33,105,101,220,327,0,327,16100,410,0,0.797560976
Sông Ba Hạ,5/1/2022 22:00,104.32,105,101,225,327,0,327,16100,410,0,0.797560976
