time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),Season,thoi_diem,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,max_xa_dap_tran,max_xa_nha_may,dap_tran_norm,nha_may_norm,is_drought_2023,flag_phys_invalid,muc_nuoc_thuong_luu_m_capped,is_event_month,luu_luong_den_ho_m3_s_capped,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_pct_in_month
2022-01-01 00:00:00,22.5,76,0.0,19,0,2022-01-01 00:00:00,61.29,170,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.29,0,170.0,130,0.844086022
2022-01-01 01:00:00,24.7,68,0.0,19,0,2022-01-01 01:00:00,61.3,210,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.3,0,210.0,130,0.960517473
2022-01-01 02:00:00,26.6,63,0.0,47,0,2022-01-01 02:00:00,61.3,210,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.3,0,210.0,130,0.960517473
2022-01-01 03:00:00,28.6,56,0.0,42,0,2022-01-01 03:00:00,61.3,220,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.3,0,220.0,130,0.971942204
2022-01-01 04:00:00,30.4,50,0.0,74,0,2022-01-01 04:00:00,61.3,220,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.3,0,220.0,130,0.971942204
2022-01-01 05:00:00,31.4,47,0.0,51,0,2022-01-01 05:00:00,61.31,220,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.31,0,220.0,130,0.971942204
2022-01-01 06:00:00,32.1,44,0.1,19,0,2022-01-01 06:00:00,61.31,220,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.31,0,220.0,130,0.971942204
2022-01-01 07:00:00,32.0,44,0.2,8,0,2022-01-01 07:00:00,61.32,280,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.32,0,280.0,130,0.99546371
2022-01-01 08:00:00,32.2,43,0.0,32,0,2022-01-01 08:00:00,61.32,280,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.32,0,280.0,130,0.99546371
2022-01-01 09:00:00,30.0,51,0.2,44,0,2022-01-01 09:00:00,61.32,220,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.32,0,220.0,130,0.971942204
2022-01-01 10:00:00,28.4,57,0.0,29,0,2022-01-01 10:00:00,61.32,220,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.32,0,220.0,130,0.971942204
2022-01-01 11:00:00,26.8,60,0.0,19,0,2022-01-01 11:00:00,61.32,140,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.32,0,140.0,130,0.651377688
2022-01-01 12:00:00,25.9,62,0.0,12,0,2022-01-01 12:00:00,61.32,140,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.32,0,140.0,130,0.651377688
2022-01-01 13:00:00,25.2,64,0.0,99,0,2022-01-01 13:00:00,61.33,170,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.33,0,170.0,130,0.844086022
2022-01-01 14:00:00,24.5,66,0.0,79,0,2022-01-01 14:00:00,61.33,170,0,0.0,0.0,1140,980,0.0,0.0,0,0,61.33,0,170.0,130,0.844086022
