time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),cloud_cover (%),surface_pressure (hPa),et0_fao_evapotranspiration (mm),rain (mm),snowfall (cm)
2022-01-01T00:00,14.5,94,0,3.4,65,1021.3,0,0,0
2022-01-01T01:00,14.6,94,0,2.5,100,1020.8,0,0,0
2022-01-01T02:00,14.9,92,0,1.8,100,1020.3,0,0,0
2022-01-01T03:00,14.9,94,0,1.6,100,1019.7,0,0,0
2022-01-01T04:00,14.8,92,0,1.1,100,1019.6,0,0,0
2022-01-01T05:00,14.8,93,0,1.1,100,1019.8,0,0,0
2022-01-01T06:00,14.7,95,0,1.9,100,1020.3,0,0,0
2022-01-01T07:00,15.3,90,0,4,100,1020.8,0.02,0,0
2022-01-01T08:00,15.9,87,0,4.4,100,1021.8,0.03,0,0
2022-01-01T09:00,16.5,83,0,5.7,100,1022.8,0.07,0,0
2022-01-01T10:00,16.9,82,0,6.8,100,1022.8,0.08,0,0
2022-01-01T11:00,17.6,79,0,7.6,100,1022.3,0.14,0,0
2022-01-01T12:00,17.6,80,0,7,100,1021.3,0.1,0,0
2022-01-01T13:00,18.2,77,0,7.3,100,1020.1,0.15,0,0
2022-01-01T14:00,18.3,78,0,8.6,100,1019.3,0.12,0,0
2022-01-01T15:00,18.3,78,0,9.2,100,1019,0.11,0,0
2022-01-01T16:00,18.2,77,0,8.8,100,1019,0.08,0,0
2022-01-01T17:00,18,79,0,6.6,100,1019.1,0.05,0,0
2022-01-01T18:00,17.6,82,0,4.6,100,1019.6,0.03,0,0
2022-01-01T19:00,16.9,86,0,5.6,100,1020.2,0,0,0
2022-01-01T20:00,16.7,84,0,7.7,100,1020.9,0,0,0
2022-01-01T21:00,16.4,83,0,7.1,100,1021.5,0,0,0
2022-01-01T22:00,16,84,0,5.9,100,1021.8,0,0,0
2022-01-01T23:00,15.8,84,0,5.4,87,1021.6,0,0,0
2022-01-02T00:00,14.9,91,0,3.5,96,1021.2,0,0,0
2022-01-02T01:00,14.9,90,0,2.3,96,1020.5,0,0,0
2022-01-02T02:00,15.2,87,0,3.2,100,1020.1,0,0,0
2022-01-02T03:00,15.3,87,0,2.9,100,1019.6,0,0,0
2022-01-02T04:00,15.3,86,0,2,100,1019.2,0,0,0
2022-01-02T05:00,15.4,86,0,1.1,100,1019.4,0,0,0
2022-01-02T06:00,15.4,87,0,1.1,100,1019.7,0,0,0
2022-01-02T07:00,15.6,88,0,3.1,100,1020.5,0.02,0,0
2022-01-02T08:00,16.1,87,0,3.8,99,1021.3,0.03,0,0
2022-01-02T09:00,17.1,83,0,4.6,43,1022,0.1,0,0
2022-01-02T10:00,18.6,76,0,6.7,100,1021.7,0.23,0,0
2022-01-02T11:00,18.7,76,0,6.5,100,1020.8,0.17,0,0
2022-01-02T12:00,19.5,74,0,4.3,100,1019.5,0.23,0,0
2022-01-02T13:00,20,72,0,1.8,100,1018.1,0.23,0,0
2022-01-02T14:00,20.4,70,0,1.1,77,1017,0.2,0,0
2022-01-02T15:00,21.3,68,0,1.1,60,1016,0.28,0,0
2022-01-02T16:00,21.4,68,0,2.5,25,1015.6,0.16,0,0
2022-01-02T17:00,20.5,82,0,3.2,72,1015.9,0.07,0,0
2022-01-02T18:00,20.2,73,0,4.2,97,1016.4,0.03,0,0
2022-01-02T19:00,18.6,79,0,2.9,51,1017.1,0,0,0
2022-01-02T20:00,18.3,80,0,1.8,29,1017.8,0,0,0
2022-01-02T21:00,16.6,89,0,4.3,32,1018.2,0,0,0
2022-01-02T22:00,15.4,93,0,5.6,12,1018.2,0,0,0
2022-01-02T23:00,14.5,96,0,6.5,15,1018,0,0,0
2022-01-03T00:00,14.4,96,0,5.8,10,1017.8,0,0,0
2022-01-03T01:00,15.3,94,0,4.4,8,1017.5,0,0,0
2022-01-03T02:00,15.3,95,0,3.3,4,1016.9,0,0,0
2022-01-03T03:00,15,96,0,3.3,5,1016.2,0,0,0
2022-01-03T04:00,14.7,98,0,3.2,14,1016.1,0,0,0
2022-01-03T05:00,14.6,98,0,2.4,15,1016.2,0,0,0
2022-01-03T06:00,14.5,99,0,2.9,9,1016.5,0,0,0
2022-01-03T07:00,13.7,100,0,2.7,100,1017.7,0.01,0,0
2022-01-03T08:00,15.5,94,0,3.2,66,1018.6,0.04,0,0
2022-01-03T09:00,17.1,87,0,1.3,80,1019.2,0.13,0,0
2022-01-03T10:00,18.8,80,0,2.1,49,1018.9,0.24,0,0
2022-01-03T11:00,20.1,73,0.1,1.1,100,1017.6,0.3,0.1,0
2022-01-03T12:00,20.1,72,0,0.8,100,1016.3,0.17,0,0
2022-01-03T13:00,20.9,70,0,2.6,100,1014.9,0.25,0,0
2022-01-03T14:00,21.2,68,0,4,64,1013.7,0.24,0,0
2022-01-03T15:00,21.9,66,0,1.6,100,1013.2,0.24,0,0
2022-01-03T16:00,22,66,0,6.2,100,1013.4,0.15,0,0
2022-01-03T17:00,21.3,70,0,7.6,99,1013.9,0.08,0,0
2022-01-03T18:00,19.1,80,0,5.8,35,1014.5,0.03,0,0
2022-01-03T19:00,17.8,86,0,7.2,20,1015.3,0,0,0
2022-01-03T20:00,18.3,82,0,5.2,23,1016,0,0,0
2022-01-03T21:00,18.2,83,0,3.7,100,1016.5,0,0,0
2022-01-03T22:00,17.5,86,0,3.9,100,1016.7,0,0,0
2022-01-03T23:00,17.3,92,0,3.4,100,1016.6,0,0,0
2022-01-04T00:00,17.1,93,0,2.9,12,1016.2,0,0,0
2022-01-04T01:00,15.7,96,0,4.6,14,1015.7,0,0,0
