time,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),cloud_cover (%),muc_nuoc_thuong_luu_m,muc_nuoc_dang_binh_thuong_m,muc_nuoc_chet_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,so_cua_xa_sau,so_cua_xa_mat
2022-01-01T00:00,17.5,0,93,100,104.94,105,101,410,450,50,400,0,1
2022-01-01T01:00,19.1,0,86,44,104.93,105,101,405,450,50,400,0,1
2022-01-01T02:00,21,0,75,100,104.93,105,101,415,450,50,400,0,1
2022-01-01T03:00,21.4,0.1,76,69,104.92,105,101,420,450,50,400,0,1
2022-01-01T04:00,21.9,0.1,74,100,104.92,105,101,425,450,50,400,0,1
2022-01-01T05:00,21.8,0.1,76,50,104.91,105,101,410,450,50,400,0,1
2022-01-01T06:00,22.4,0,73,40,104.91,105,101,415,450,50,400,0,1
2022-01-01T07:00,22,0,75,46,104.9,105,101,405,450,50,400,0,1
2022-01-01T08:00,21.4,0.1,76,55,104.9,105,101,410,450,50,400,0,1
2022-01-01T09:00,20.3,0.1,80,41,104.89,105,101,415,450,50,400,0,1
2022-01-01T10:00,19.1,0,86,48,104.89,105,101,420,250,50,200,0,1
2022-01-01T11:00,18,0,92,43,104.9,105,101,425,250,50,200,0,1
2022-01-01T12:00,17.7,0,93,80,104.91,105,101,410,250,50,200,0,1
2022-01-01T13:00,17.4,0,94,36,104.92,105,101,405,250,50,200,0,1
2022-01-01T14:00,17.2,0,94,83,104.93,105,101,415,250,50,200,0,1
2022-01-01T15:00,17.2,0,95,94,104.93,105,101,400,370,50,320,0,1
2022-01-01T16:00,17.3,0,95,100,104.92,105,101,410,450,50,400,0,1
2022-01-01T17:00,17.3,0,94,100,104.92,105,101,420,450,50,400,0,1
2022-01-01T18:00,17,0,95,99,104.91,105,101,415,450,50,400,0,1
2022-01-01T19:00,17,0,95,100,104.91,105,101,425,450,50,400,0,1
2022-01-01T20:00,17.6,0,93,63,104.89,105,101,370,450,50,400,0,1
