ten_ho,thoi_diem,muc_nuoc_thuong_luu_m,muc_nuoc_dang_binh_thuong_m,muc_nuoc_chet_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,so_cua_xa_sau,so_cua_xa_mat
Trị An,2022-01-01 00:00:00,61.29,62,50,170.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 01:00:00,61.3,62,50,210.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 02:00:00,61.3,62,50,210.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 03:00:00,61.3,62,50,220.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 04:00:00,61.3,62,50,220.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 05:00:00,61.31,62,50,220.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 06:00:00,61.31,62,50,220.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 07:00:00,61.32,62,50,280.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 08:00:00,61.32,62,50,280.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 09:00:00,61.32,62,50,220.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 10:00:00,61.32,62,50,220.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 11:00:00,61.32,62,50,140.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 12:00:00,61.32,62,50,140.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 13:00:00,61.33,62,50,170.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 14:00:00,61.33,62,50,170.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 15:00:00,61.33,62,50,170.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 16:00:00,61.33,62,50,170.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 17:00:00,61.33,62,50,140.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 18:00:00,61.33,62,50,140.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 19:00:00,61.32,62,50,230.0,780.0,0.0,780.0,0,0
Trị An,2022-01-01 20:00:00,61.32,62,50,230.0,780.0,0.0,780.0,0,0
Trị An,2022-01-01 21:00:00,61.32,62,50,270.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 22:00:00,61.32,62,50,270.0,0.0,0.0,0.0,0,0
Trị An,2022-01-01 23:00:00,61.32,62,50,200.0,0.0,0.0,0.0,0,0
Trị An,2022-01-02 00:00:00,61.32,62,50,200.0,0.0,0.0,0.0,0,0
Trị An,2022-01-02 01:00:00,61.33,62,50,110.0,0.0,0.0,0.0,0,0
Trị An,2022-01-02 02:00:00,61.33,62,50,110.0,0.0,0.0,0.0,0,0
