thoi_diem,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,phase_pre_lu_som,phase_lu_som,phase_lu_chinh_vu,phase_tai_tich,is_event_month,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_pct_in_month,luu_luong_den_ho_m3_s_capped
1/1/2022 0:00,112.13,848,1104,0,1104,0,0,0,0,0,583.5,0.70094086,848
1/1/2022 1:00,112.14,700,589,0,589,0,0,0,0,0,583.5,0.598958333,700
1/1/2022 2:00,112.14,700,589,0,589,0,0,0,0,0,583.5,0.598958333,700
1/1/2022 3:00,112.14,700,589,0,589,0,0,0,0,0,583.5,0.598958333,700
1/1/2022 4:00,112.14,700,589,0,589,0,0,0,0,0,583.5,0.598958333,700
1/1/2022 5:00,112.14,700,589,0,589,0,0,0,0,0,583.5,0.598958333,700
1/1/2022 6:00,112.14,700,589,0,589,0,0,0,0,0,583.5,0.598958333,700
1/1/2022 7:00,112.2,820,250,0,250,0,0,0,0,0,583.5,0.679267473,820
1/1/2022 8:00,112.2,820,250,0,250,0,0,0,0,0,583.5,0.679267473,820
1/1/2022 9:00,112.2,820,250,0,250,0,0,0,0,0,583.5,0.679267473,820
1/1/2022 10:00,112.2,820,250,0,250,0,0,0,0,0,583.5,0.679267473,820
1/1/2022 11:00,112.2,820,250,0,250,0,0,0,0,0,583.5,0.679267473,820
1/1/2022 12:00,112.2,820,250,0,250,0,0,0,0,0,583.5,0.679267473,820
1/1/2022 13:00,112.28,1499,746,0,746,0,0,0,0,0,583.5,0.940188172,1499
1/1/2022 14:00,112.28,1499,746,0,746,0,0,0,0,0,583.5,0.940188172,1499
1/1/2022 15:00,112.28,1499,746,0,746,0,0,0,0,0,583.5,0.940188172,1499
1/1/2022 16:00,112.28,1499,746,0,746,0,0,0,0,0,583.5,0.940188172,1499
1/1/2022 17:00,112.28,1499,746,0,746,0,0,0,0,0,583.5,0.940188172,1499
1/1/2022 18:00,112.28,1499,746,0,746,0,0,0,0,0,583.5,0.940188172,1499
1/1/2022 19:00,112.22,857,1388,0,1388,0,0,0,0,0,583.5,0.704133065,857
1/1/2022 20:00,112.22,857,1388,0,1388,0,0,0,0,0,583.5,0.704133065,857
1/1/2022 21:00,112.22,857,1388,0,1388,0,0,0,0,0,583.5,0.704133065,857
1/1/2022 22:00,112.22,857,1388,0,1388,0,0,0,0,0,583.5,0.704133065,857
1/1/2022 23:00,112.22,857,1388,0,1388,0,0,0,0,0,583.5,0.704133065,857
1/2/2022 0:00,112.22,857,1388,0,1388,0,0,0,0,0,583.5,0.704133065,857
1/2/2022 1:00,112.12,961,1858,0,1858,0,0,0,0,0,583.5,0.774361559,961
1/2/2022 2:00,112.12,961,1858,0,1858,0,0,0,0,0,583.5,0.774361559,961
1/2/2022 3:00,112.12,961,1858,0,1858,0,0,0,0,0,583.5,0.774361559,961
1/2/2022 4:00,112.12,961,1858,0,1858,0,0,0,0,0,583.5,0.774361559,961
1/2/2022 5:00,112.12,961,1858,0,1858,0,0,0,0,0,583.5,0.774361559,961
1/2/2022 6:00,112.12,961,1858,0,1858,0,0,0,0,0,583.5,0.774361559,961
1/2/2022 7:00,111.91,40,1885,0,1885,0,0,0,0,0,583.5,0.054435484,40
1/2/2022 8:00,111.91,40,1885,0,1885,0,0,0,0,0,583.5,0.054435484,40
1/2/2022 9:00,111.91,40,1885,0,1885,0,0,0,0,0,583.5,0.054435484,40
1/2/2022 10:00,111.91,40,1885,0,1885,0,0,0,0,0,583.5,0.054435484,40
1/2/2022 11:00,111.91,40,1885,0,1885,0,0,0,0,0,583.5,0.054435484,40
1/2/2022 12:00,111.91,40,1885,0,1885,0,0,0,0,0,583.5,0.054435484,40
1/2/2022 13:00,111.79,592,1662,0,1662,0,0,0,0,0,583.5,0.505208333,592
1/2/2022 14:00,111.79,592,1662,0,1662,0,0,0,0,0,583.5,0.505208333,592
1/2/2022 15:00,111.79,592,1662,0,1662,0,0,0,0,0,583.5,0.505208333,592
1/2/2022 16:00,111.79,592,1662,0,1662,0,0,0,0,0,583.5,0.505208333,592
1/2/2022 17:00,111.79,592,1662,0,1662,0,0,0,0,0,583.5,0.505208333,592
1/2/2022 18:00,111.79,592,1662,0,1662,0,0,0,0,0,583.5,0.505208333,592
1/2/2022 19:00,111.66,694,1855,0,1855,0,0,0,0,0,583.5,0.592909946,694
1/2/2022 20:00,111.66,694,1855,0,1855,0,0,0,0,0,583.5,0.592909946,694
1/2/2022 21:00,111.66,694,1855,0,1855,0,0,0,0,0,583.5,0.592909946,694
1/2/2022 22:00,111.66,694,1855,0,1855,0,0,0,0,0,583.5,0.592909946,694
1/2/2022 23:00,111.66,694,1855,0,1855,0,0,0,0,0,583.5,0.592909946,694
1/3/2022 0:00,111.66,694,1855,0,1855,0,0,0,0,0,583.5,0.592909946,694
1/3/2022 1:00,111.66,1858,1835,0,1835,0,0,0,0,0,583.5,0.965893817,1640.5
1/3/2022 2:00,111.66,1858,1835,0,1835,0,0,0,0,0,583.5,0.965893817,1640.5
1/3/2022 3:00,111.66,1858,1835,0,1835,0,0,0,0,0,583.5,0.965893817,1640.5
1/3/2022 4:00,111.66,1858,1835,0,1835,0,0,0,0,0,583.5,0.965893817,1640.5
1/3/2022 5:00,111.66,1858,1835,0,1835,0,0,0,0,0,583.5,0.965893817,1640.5
1/3/2022 6:00,111.66,1858,1835,0,1835,0,0,0,0,0,583.5,0.965893817,1640.5
1/3/2022 7:00,111.46,128,1925,0,1925,0,0,0,0,0,583.5,0.156754032,128
1/3/2022 8:00,111.46,128,1925,0,1925,0,0,0,0,0,583.5,0.156754032,128
1/3/2022 9:00,111.34,40,2165,0,2165,0,0,0,0,0,583.5,0.054435484,40
1/3/2022 10:00,111.34,40,2165,0,2165,0,0,0,0,0,583.5,0.054435484,40
1/3/2022 11:00,111.28,282,1898,0,1898,0,0,0,0,0,583.5,0.259576613,282
1/3/2022 12:00,111.28,282,1898,0,1898,0,0,0,0,0,583.5,0.259576613,282
1/3/2022 13:00,111.25,827,1625,0,1625,0,0,0,0,0,583.5,0.6875,827
1/3/2022 14:00,111.25,827,1625,0,1625,0,0,0,0,0,583.5,0.6875,827
1/3/2022 15:00,111.22,865,1663,0,1663,0,0,0,0,0,583.5,0.710013441,865
1/3/2022 16:00,111.22,865,1663,0,1663,0,0,0,0,0,583.5,0.710013441,865
1/3/2022 17:00,111.18,676,1747,0,1747,0,0,0,0,0,583.5,0.569052419,676
1/3/2022 18:00,111.18,676,1747,0,1747,0,0,0,0,0,583.5,0.569052419,676
1/3/2022 19:00,111.16,1001,1526,0,1526,0,0,0,0,0,583.5,0.793514785,1001
1/3/2022 20:00,111.16,1001,1526,0,1526,0,0,0,0,0,583.5,0.793514785,1001
1/3/2022 21:00,111.19,1920,1082,0,1082,0,0,0,0,0,583.5,0.965893817,1640.5
1/3/2022 22:00,111.19,1920,1082,0,1082,0,0,0,0,0,583.5,0.965893817,1640.5
1/3/2022 23:00,111.21,1750,1186,0,1186,0,0,0,0,0,583.5,0.965893817,1640.5
1/4/2022 0:00,111.21,1750,1186,0,1186,0,0,0,0,0,583.5,0.965893817,1640.5
1/4/2022 1:00,111.22,1693,1401,0,1401,0,0,0,0,0,583.5,0.965893817,1640.5
1/4/2022 2:00,111.22,1693,1401,0,1401,0,0,0,0,0,583.5,0.965893817,1640.5
