thoi_diem,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s
1/1/2022 0:00,112.13,848,1104,0,1104
1/1/2022 1:00,112.14,700,589,0,589
1/1/2022 2:00,112.14,700,589,0,589
1/1/2022 3:00,112.14,700,589,0,589
1/1/2022 4:00,112.14,700,589,0,589
1/1/2022 5:00,112.14,700,589,0,589
1/1/2022 6:00,112.14,700,589,0,589
1/1/2022 7:00,112.2,820,250,0,250
1/1/2022 8:00,112.2,820,250,0,250
1/1/2022 9:00,112.2,820,250,0,250
1/1/2022 10:00,112.2,820,250,0,250
1/1/2022 11:00,112.2,820,250,0,250
1/1/2022 12:00,112.2,820,250,0,250
1/1/2022 13:00,112.28,1499,746,0,746
1/1/2022 14:00,112.28,1499,746,0,746
1/1/2022 15:00,112.28,1499,746,0,746
1/1/2022 16:00,112.28,1499,746,0,746
1/1/2022 17:00,112.28,1499,746,0,746
1/1/2022 18:00,112.28,1499,746,0,746
1/1/2022 19:00,112.22,857,1388,0,1388
1/1/2022 20:00,112.22,857,1388,0,1388
1/1/2022 21:00,112.22,857,1388,0,1388
1/1/2022 22:00,112.22,857,1388,0,1388
1/1/2022 23:00,112.22,857,1388,0,1388
1/2/2022 0:00,112.22,857,1388,0,1388
1/2/2022 1:00,112.12,961,1858,0,1858
1/2/2022 2:00,112.12,961,1858,0,1858
1/2/2022 3:00,112.12,961,1858,0,1858
1/2/2022 4:00,112.12,961,1858,0,1858
1/2/2022 5:00,112.12,961,1858,0,1858
1/2/2022 6:00,112.12,961,1858,0,1858
1/2/2022 7:00,111.91,40,1885,0,1885
1/2/2022 8:00,111.91,40,1885,0,1885
1/2/2022 9:00,111.91,40,1885,0,1885
1/2/2022 10:00,111.91,40,1885,0,1885
1/2/2022 11:00,111.91,40,1885,0,1885
1/2/2022 12:00,111.91,40,1885,0,1885
1/2/2022 13:00,111.79,592,1662,0,1662
1/2/2022 14:00,111.79,592,1662,0,1662
1/2/2022 15:00,111.79,592,1662,0,1662
1/2/2022 16:00,111.79,592,1662,0,1662
1/2/2022 17:00,111.79,592,1662,0,1662
1/2/2022 18:00,111.79,592,1662,0,1662
1/2/2022 19:00,111.66,694,1855,0,1855
1/2/2022 20:00,111.66,694,1855,0,1855
1/2/2022 21:00,111.66,694,1855,0,1855
1/2/2022 22:00,111.66,694,1855,0,1855
1/2/2022 23:00,111.66,694,1855,0,1855
1/3/2022 0:00,111.66,694,1855,0,1855
1/3/2022 1:00,111.66,1858,1835,0,1835
1/3/2022 2:00,111.66,1858,1835,0,1835
1/3/2022 3:00,111.66,1858,1835,0,1835
1/3/2022 4:00,111.66,1858,1835,0,1835
1/3/2022 5:00,111.66,1858,1835,0,1835
1/3/2022 6:00,111.66,1858,1835,0,1835
1/3/2022 7:00,111.46,128,1925,0,1925
1/3/2022 8:00,111.46,128,1925,0,1925
1/3/2022 9:00,111.34,40,2165,0,2165
1/3/2022 10:00,111.34,40,2165,0,2165
1/3/2022 11:00,111.28,282,1898,0,1898
1/3/2022 12:00,111.28,282,1898,0,1898
1/3/2022 13:00,111.25,827,1625,0,1625
1/3/2022 14:00,111.25,827,1625,0,1625
1/3/2022 15:00,111.22,865,1663,0,1663
1/3/2022 16:00,111.22,865,1663,0,1663
1/3/2022 17:00,111.18,676,1747,0,1747
1/3/2022 18:00,111.18,676,1747,0,1747
1/3/2022 19:00,111.16,1001,1526,0,1526
1/3/2022 20:00,111.16,1001,1526,0,1526
1/3/2022 21:00,111.19,1920,1082,0,1082
1/3/2022 22:00,111.19,1920,1082,0,1082
1/3/2022 23:00,111.21,1750,1186,0,1186
1/4/2022 0:00,111.21,1750,1186,0,1186
1/4/2022 1:00,111.22,1693,1401,0,1401
1/4/2022 2:00,111.22,1693,1401,0,1401
1/4/2022 3:00,111.22,1478,1458,0,1458
1/4/2022 4:00,111.22,1478,1458,0,1458
1/4/2022 5:00,111.23,1809,1516,0,1516
1/4/2022 6:00,111.23,1809,1516,0,1516
1/4/2022 7:00,111.2,718,1516,0,1516
1/4/2022 8:00,111.2,718,1516,0,1516
1/4/2022 9:00,111.16,446,1517,0,1517
1/4/2022 10:00,111.16,446,1517,0,1517
1/4/2022 11:00,111.13,840,1528,0,1528
1/4/2022 12:00,111.13,840,1528,0,1528
1/4/2022 13:00,111.12,1179,1541,0,1541
1/4/2022 14:00,111.12,1179,1541,0,1541
1/4/2022 15:00,111.12,1224,1204,0,1204
1/4/2022 16:00,111.12,1224,1204,0,1204
1/4/2022 17:00,111.1,719,1245,0,1245
1/4/2022 18:00,111.1,719,1245,0,1245
1/4/2022 19:00,111.07,721,1519,0,1519
1/4/2022 20:00,111.07,721,1519,0,1519
1/4/2022 21:00,111.09,1758,1193,0,1193
1/4/2022 22:00,111.09,1758,1193,0,1193
1/4/2022 23:00,111.11,1809,1244,0,1244
1/5/2022 0:00,111.11,1809,1244,0,1244
1/5/2022 1:00,111.11,1477,1457,0,1457
1/5/2022 2:00,111.11,1477,1457,0,1457
1/5/2022 3:00,111.11,1420,1400,0,1400
1/5/2022 4:00,111.11,1420,1400,0,1400
1/5/2022 5:00,111.12,1692,1400,0,1400
1/5/2022 6:00,111.12,1692,1400,0,1400
1/5/2022 7:00,111.08,329,1400,0,1400
1/5/2022 8:00,111.08,329,1400,0,1400
1/5/2022 9:00,111.04,330,1402,0,1402
1/5/2022 10:00,111.04,330,1402,0,1402
1/5/2022 11:00,111.01,604,1402,0,1402
1/5/2022 12:00,111.01,604,1402,0,1402
1/5/2022 13:00,111,1086,1338,0,1338
1/5/2022 14:00,111,1086,1338,0,1338
1/5/2022 15:00,111.01,1346,1054,0,1054
1/5/2022 16:00,111.01,1346,1054,0,1054
1/5/2022 17:00,111.02,1127,834,0,834
1/5/2022 18:00,111.02,1127,834,0,834
1/5/2022 19:00,111.03,1127,834,0,834
1/5/2022 20:00,111.03,1127,834,0,834
1/5/2022 21:00,111.05,1471,852,0,852
1/5/2022 22:00,111.05,1471,852,0,852
1/5/2022 23:00,111.07,1424,860,0,860
1/6/2022 0:00,111.07,1424,860,0,860
1/6/2022 1:00,111.07,867,847,0,847
1/6/2022 2:00,111.07,867,847,0,847
1/6/2022 3:00,111.07,860,840,0,840
1/6/2022 4:00,111.07,860,840,0,840
1/6/2022 5:00,111.07,860,840,0,840
1/6/2022 6:00,111.07,860,840,0,840
1/6/2022 7:00,111.06,794,930,0,930
1/6/2022 8:00,111.06,794,930,0,930
1/6/2022 9:00,111.05,685,938,0,938
1/6/2022 10:00,111.05,685,938,0,938
1/6/2022 11:00,111.05,914,860,0,860
1/6/2022 12:00,111.05,914,860,0,860
1/6/2022 13:00,111.06,742,449,0,449
1/6/2022 14:00,111.06,742,449,0,449
1/6/2022 15:00,111.1,1167,58,0,58
1/6/2022 16:00,111.1,1167,58,0,58
1/6/2022 17:00,111.12,840,275,0,275
1/6/2022 18:00,111.12,840,275,0,275
1/6/2022 19:00,111.15,1214,377,0,377
1/6/2022 20:00,111.15,1214,377,0,377
1/6/2022 21:00,111.2,1531,149,0,149
1/6/2022 22:00,111.2,1531,149,0,149
1/6/2022 23:00,111.2,1531,149,0,149
1/7/2022 0:00,111.2,1531,149,0,149
1/7/2022 1:00,111.28,1349,149,0,149
1/7/2022 2:00,111.28,1349,149,0,149
1/7/2022 3:00,111.28,1349,149,0,149
1/7/2022 4:00,111.28,1349,149,0,149
1/7/2022 5:00,111.28,1349,149,0,149
1/7/2022 6:00,111.28,1349,149,0,149
1/7/2022 7:00,111.35,690,34,0,34
1/7/2022 8:00,111.35,690,34,0,34
1/7/2022 9:00,111.35,690,34,0,34
1/7/2022 10:00,111.35,690,34,0,34
1/7/2022 11:00,111.35,690,34,0,34
1/7/2022 12:00,111.35,690,34,0,34
1/7/2022 13:00,111.36,539,428,0,428
1/7/2022 14:00,111.36,539,428,0,428
1/7/2022 15:00,111.36,539,428,0,428
1/7/2022 16:00,111.36,539,428,0,428
1/7/2022 17:00,111.36,539,428,0,428
1/7/2022 18:00,111.36,539,428,0,428
1/7/2022 19:00,111.35,811,882,0,882
1/7/2022 20:00,111.35,811,882,0,882
1/7/2022 21:00,111.35,811,882,0,882
1/7/2022 22:00,111.35,811,882,0,882
1/7/2022 23:00,111.35,811,882,0,882
1/8/2022 0:00,111.35,811,882,0,882
1/8/2022 1:00,111.34,529,600,0,600
1/8/2022 2:00,111.34,529,600,0,600
1/8/2022 3:00,111.34,529,600,0,600
1/8/2022 4:00,111.34,529,600,0,600
1/8/2022 5:00,111.34,529,600,0,600
1/8/2022 6:00,111.34,529,600,0,600
1/8/2022 7:00,111.39,902,428,0,428
1/8/2022 8:00,111.39,902,428,0,428
1/8/2022 9:00,111.39,902,428,0,428
1/8/2022 10:00,111.39,902,428,0,428
1/8/2022 11:00,111.39,902,428,0,428
1/8/2022 12:00,111.39,902,428,0,428
1/8/2022 13:00,111.39,832,812,0,812
1/8/2022 14:00,111.39,832,812,0,812
1/8/2022 15:00,111.39,832,812,0,812
1/8/2022 16:00,111.39,832,812,0,812
