thoi_diem,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,phase_pre_lu_som,phase_lu_som,phase_lu_chinh_vu,phase_tai_tich,year_x,month_x,pct_change,anom_iqr_units,out_pct,is_event_month,year_y,month_y,lb_m,ub_m,luu_luong_den_ho_m3_s_capped,luu_luong_den_ho_m3_s_capped_roll_mean_6H,luu_luong_den_ho_m3_s_capped_roll_mean_24H,luu_luong_den_ho_m3_s_capped_roll_mean_72H,luu_luong_den_ho_m3_s_capped_roll_mean_168H,luu_luong_den_ho_m3_s_capped_roll_std_24H,luu_luong_den_ho_m3_s_capped_roll_std_168H,luu_luong_den_ho_m3_s_capped_diff_1,luu_luong_den_ho_m3_s_capped_diff_6,luu_luong_den_ho_m3_s_capped_diff_24,luu_luong_den_ho_m3_s_capped_lag_1,luu_luong_den_ho_m3_s_capped_lag_6,luu_luong_den_ho_m3_s_capped_lag_24,luu_luong_den_ho_m3_s_capped_lag_72,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_anom,luu_luong_den_ho_m3_s_capped_iqrscore,luu_luong_den_ho_m3_s_capped_pct_in_month,log1p_luu_luong_den_ho_m3_s_capped
1/1/2022 0:00,112.13,848,1104,0,1104,0,0,0,0,2022,1,,0.811564275,3.494623656,0,2022,1,0,1640.5,848,848,848,848,848,,,,,,,,,,583.5,264.5,0.400757576,0.70094086,6.744059186
1/1/2022 1:00,112.14,700,589,0,589,0,0,0,0,2022,1,,0.811564275,3.494623656,0,2022,1,0,1640.5,700,774,774,774,774,104.6518036,104.6518036,-148,,,848,,,,583.5,116.5,0.176515152,0.598958333,6.552507887
1/1/2022 2:00,112.14,700,589,0,589,0,0,0,0,2022,1,,0.811564275,3.494623656,0,2022,1,0,1640.5,700,749.3333333,749.3333333,749.3333333,749.3333333,85.44783984,85.44783984,0,,,700,,,,583.5,116.5,0.176515152,0.598958333,6.552507887
1/1/2022 3:00,112.14,700,589,0,589,0,0,0,0,2022,1,,0.811564275,3.494623656,0,2022,1,0,1640.5,700,737,737,737,737,74,74,0,,,700,,,,583.5,116.5,0.176515152,0.598958333,6.552507887
1/1/2022 4:00,112.14,700,589,0,589,0,0,0,0,2022,1,,0.811564275,3.494623656,0,2022,1,0,1640.5,700,729.6,729.6,729.6,729.6,66.18761213,66.18761213,0,,,700,,,,583.5,116.5,0.176515152,0.598958333,6.552507887
1/1/2022 5:00,112.14,700,589,0,589,0,0,0,0,2022,1,,0.811564275,3.494623656,0,2022,1,0,1640.5,700,724.6666667,724.6666667,724.6666667,724.6666667,60.42074699,60.42074699,0,,,700,,,,583.5,116.5,0.176515152,0.598958333,6.552507887
1/1/2022 6:00,112.14,700,589,0,589,0,0,0,0,2022,1,,0.811564275,3.494623656,0,2022,1,0,1640.5,700,700,721.1428571,721.1428571,721.1428571,55.93874201,55.93874201,0,-148,,700,848,,,583.5,116.5,0.176515152,0.598958333,6.552507887
1/1/2022 7:00,112.2,820,250,0,250,0,0,0,0,2022,1,,0.811564275,3.494623656,0,2022,1,0,1640.5,820,720,733.5,733.5,733.5,62.47971099,62.47971099,120,120,,700,700,,,583.5,236.5,0.358333333,0.679267473,6.710523109
1/1/2022 8:00,112.2,820,250,0,250,0,0,0,0,2022,1,,0.811564275,3.494623656,0,2022,1,0,1640.5,820,740,743.1111111,743.1111111,743.1111111,65.16986352,65.16986352,0,120,,820,700,,,583.5,236.5,0.358333333,0.679267473,6.710523109
1/1/2022 9:00,112.2,820,250,0,250,0,0,0,0,2022,1,,0.811564275,3.494623656,0,2022,1,0,1640.5,820,760,750.8,750.8,750.8,66.07874091,66.07874091,0,120,,820,700,,,583.5,236.5,0.358333333,0.679267473,6.710523109
