thoi_diem,muc_nuoc_thuong_luu_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,max_xa_dap_tran,max_xa_nha_may,dap_tran_norm,nha_may_norm,is_flood_month,is_event_month,luu_luong_den_ho_m3_s_capped,luu_luong_den_ho_m3_s_capped_month_median,luu_luong_den_ho_m3_s_capped_pct_in_month,flag_wl_suspect_low,flag_wl_suspect_high,phase_flood_season,phase_pre_flood_drawdown,phase_post_flood_recharge,flag_regime_2024_jul_oct,time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),Season
2022-01-01 00:00:00,104.94,410.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 00:00:00,17.5,93,0.0,100,0
2022-01-01 01:00:00,104.93,405.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 01:00:00,19.1,86,0.0,44,0
2022-01-01 02:00:00,104.93,415.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 02:00:00,21.0,75,0.0,100,0
2022-01-01 03:00:00,104.92,420.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 03:00:00,21.4,76,0.1,69,0
2022-01-01 04:00:00,104.92,425.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 04:00:00,21.9,74,0.1,100,0
2022-01-01 05:00:00,104.91,410.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 05:00:00,21.8,76,0.1,50,0
2022-01-01 06:00:00,104.91,415.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 06:00:00,22.4,73,0.0,40,0
2022-01-01 07:00:00,104.9,405.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 07:00:00,22.0,75,0.0,46,0
2022-01-01 08:00:00,104.9,410.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 08:00:00,21.4,76,0.1,55,0
2022-01-01 09:00:00,104.89,415.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 09:00:00,20.3,80,0.1,41,0
2022-01-01 10:00:00,104.89,420.0,250.0,50.0,200.0,16100,410,0.00310559,0.487804878,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 10:00:00,19.1,86,0.0,48,0
2022-01-01 11:00:00,104.9,425.0,250.0,50.0,200.0,16100,410,0.00310559,0.487804878,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 11:00:00,18.0,92,0.0,43,0
2022-01-01 12:00:00,104.91,410.0,250.0,50.0,200.0,16100,410,0.00310559,0.487804878,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 12:00:00,17.7,93,0.0,80,0
2022-01-01 13:00:00,104.92,405.0,250.0,50.0,200.0,16100,410,0.00310559,0.487804878,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 13:00:00,17.4,94,0.0,36,0
2022-01-01 14:00:00,104.93,415.0,250.0,50.0,200.0,16100,410,0.00310559,0.487804878,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 14:00:00,17.2,94,0.0,83,0
2022-01-01 15:00:00,104.93,400.0,370.0,50.0,320.0,16100,410,0.00310559,0.780487805,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 15:00:00,17.2,95,0.0,94,0
2022-01-01 16:00:00,104.92,410.0,450.0,50.0,400.0,16100,410,0.00310559,0.975609756,0,0,322.5,90.0,0.993447581,0,0,0,0,1,0,2022-01-01 16:00:00,17.3,95,0.0,100,0
