ten_ho,thoi_diem,muc_nuoc_thuong_luu_m,muc_nuoc_dang_binh_thuong_m,muc_nuoc_chet_m,luu_luong_den_ho_m3_s,tong_luong_xa_m3_s,tong_luong_xa_qua_dap_tran_m3_s,tong_luong_xa_qua_nha_may_m3_s,so_cua_xa_sau,so_cua_xa_mat
Hòa Bình,2022-01-01 00:00:00,112.13,117,80,848.0,1104.0,0.0,1104.0,0,0
Hòa Bình,2022-01-01 01:00:00,112.14,117,80,700.0,589.0,0.0,589.0,0,0
Hòa Bình,2022-01-01 02:00:00,112.14,117,80,700.0,589.0,0.0,589.0,0,0
Hòa Bình,2022-01-01 03:00:00,112.14,117,80,700.0,589.0,0.0,589.0,0,0
Hòa Bình,2022-01-01 04:00:00,112.14,117,80,700.0,589.0,0.0,589.0,0,0
Hòa Bình,2022-01-01 05:00:00,112.14,117,80,700.0,589.0,0.0,589.0,0,0
Hòa Bình,2022-01-01 06:00:00,112.14,117,80,700.0,589.0,0.0,589.0,0,0
Hòa Bình,2022-01-01 07:00:00,112.2,117,80,820.0,250.0,0.0,250.0,0,0
Hòa Bình,2022-01-01 08:00:00,112.2,117,80,820.0,250.0,0.0,250.0,0,0
Hòa Bình,2022-01-01 09:00:00,112.2,117,80,820.0,250.0,0.0,250.0,0,0
Hòa Bình,2022-01-01 10:00:00,112.2,117,80,820.0,250.0,0.0,250.0,0,0
Hòa Bình,2022-01-01 11:00:00,112.2,117,80,820.0,250.0,0.0,250.0,0,0
Hòa Bình,2022-01-01 12:00:00,112.2,117,80,820.0,250.0,0.0,250.0,0,0
Hòa Bình,2022-01-01 13:00:00,112.28,117,80,1499.0,746.0,0.0,746.0,0,0
Hòa Bình,2022-01-01 14:00:00,112.28,117,80,1499.0,746.0,0.0,746.0,0,0
Hòa Bình,2022-01-01 15:00:00,112.28,117,80,1499.0,746.0,0.0,746.0,0,0
Hòa Bình,2022-01-01 16:00:00,112.28,117,80,1499.0,746.0,0.0,746.0,0,0
Hòa Bình,2022-01-01 17:00:00,112.28,117,80,1499.0,746.0,0.0,746.0,0,0
Hòa Bình,2022-01-01 18:00:00,112.28,117,80,1499.0,746.0,0.0,746.0,0,0
Hòa Bình,2022-01-01 19:00:00,112.22,117,80,857.0,1388.0,0.0,1388.0,0,0
Hòa Bình,2022-01-01 20:00:00,112.22,117,80,857.0,1388.0,0.0,1388.0,0,0
Hòa Bình,2022-01-01 21:00:00,112.22,117,80,857.0,1388.0,0.0,1388.0,0,0
Hòa Bình,2022-01-01 22:00:00,112.22,117,80,857.0,1388.0,0.0,1388.0,0,0
Hòa Bình,2022-01-01 23:00:00,112.22,117,80,857.0,1388.0,0.0,1388.0,0,0
Hòa Bình,2022-01-02 00:00:00,112.22,117,80,857.0,1388.0,0.0,1388.0,0,0
Hòa Bình,2022-01-02 01:00:00,112.12,117,80,961.0,1858.0,0.0,1858.0,0,0
Hòa Bình,2022-01-02 02:00:00,112.12,117,80,961.0,1858.0,0.0,1858.0,0,0
Hòa Bình,2022-01-02 03:00:00,112.12,117,80,961.0,1858.0,0.0,1858.0,0,0
Hòa Bình,2022-01-02 04:00:00,112.12,117,80,961.0,1858.0,0.0,1858.0,0,0
Hòa Bình,2022-01-02 05:00:00,112.12,117,80,961.0,1858.0,0.0,1858.0,0,0
Hòa Bình,2022-01-02 06:00:00,112.12,117,80,961.0,1858.0,0.0,1858.0,0,0
Hòa Bình,2022-01-02 07:00:00,111.91,117,80,40.0,1885.0,0.0,1885.0,0,0
Hòa Bình,2022-01-02 08:00:00,111.91,117,80,40.0,1885.0,0.0,1885.0,0,0
Hòa Bình,2022-01-02 09:00:00,111.91,117,80,40.0,1885.0,0.0,1885.0,0,0
Hòa Bình,2022-01-02 10:00:00,111.91,117,80,40.0,1885.0,0.0,1885.0,0,0
Hòa Bình,2022-01-02 11:00:00,111.91,117,80,40.0,1885.0,0.0,1885.0,0,0
Hòa Bình,2022-01-02 12:00:00,111.91,117,80,40.0,1885.0,0.0,1885.0,0,0
Hòa Bình,2022-01-02 13:00:00,111.79,117,80,592.0,1662.0,0.0,1662.0,0,0
Hòa Bình,2022-01-02 14:00:00,111.79,117,80,592.0,1662.0,0.0,1662.0,0,0
Hòa Bình,2022-01-02 15:00:00,111.79,117,80,592.0,1662.0,0.0,1662.0,0,0
Hòa Bình,2022-01-02 16:00:00,111.79,117,80,592.0,1662.0,0.0,1662.0,0,0
Hòa Bình,2022-01-02 17:00:00,111.79,117,80,592.0,1662.0,0.0,1662.0,0,0
Hòa Bình,2022-01-02 18:00:00,111.79,117,80,592.0,1662.0,0.0,1662.0,0,0
Hòa Bình,2022-01-02 19:00:00,111.66,117,80,694.0,1855.0,0.0,1855.0,0,0
Hòa Bình,2022-01-02 20:00:00,111.66,117,80,694.0,1855.0,0.0,1855.0,0,0
Hòa Bình,2022-01-02 21:00:00,111.66,117,80,694.0,1855.0,0.0,1855.0,0,0
Hòa Bình,2022-01-02 22:00:00,111.66,117,80,694.0,1855.0,0.0,1855.0,0,0
Hòa Bình,2022-01-02 23:00:00,111.66,117,80,694.0,1855.0,0.0,1855.0,0,0
Hòa Bình,2022-01-03 00:00:00,111.66,117,80,694.0,1855.0,0.0,1855.0,0,0
Hòa Bình,2022-01-03 01:00:00,111.66,117,80,1858.0,1835.0,0.0,1835.0,0,0
Hòa Bình,2022-01-03 02:00:00,111.66,117,80,1858.0,1835.0,0.0,1835.0,0,0
Hòa Bình,2022-01-03 03:00:00,111.66,117,80,1858.0,1835.0,0.0,1835.0,0,0
Hòa Bình,2022-01-03 04:00:00,111.66,117,80,1858.0,1835.0,0.0,1835.0,0,0
Hòa Bình,2022-01-03 05:00:00,111.66,117,80,1858.0,1835.0,0.0,1835.0,0,0
Hòa Bình,2022-01-03 06:00:00,111.66,117,80,1858.0,1835.0,0.0,1835.0,0,0
Hòa Bình,2022-01-03 07:00:00,111.46,117,80,128.0,1925.0,0.0,1925.0,0,0
Hòa Bình,2022-01-03 08:00:00,111.46,117,80,128.0,1925.0,0.0,1925.0,0,0
Hòa Bình,2022-01-03 09:00:00,111.34,117,80,40.0,2165.0,0.0,2165.0,0,0
Hòa Bình,2022-01-03 10:00:00,111.34,117,80,40.0,2165.0,0.0,2165.0,0,0
Hòa Bình,2022-01-03 11:00:00,111.28,117,80,282.0,1898.0,0.0,1898.0,0,0
